switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
2,6,20,54,4,27,8,231.8,44.74,6.76,5138,784.82,13.23,1.82,368,59.94
2,17,6,3,0,24,19,15,120.73,17.27,712,97.54,66.6,10.75,293,57.34
2,22,10,6,3,33,24,33.9,145.46,21,2077,282.65,69.29,10.77,533,89.47
2,38,12,3,4,51,40,30.8,156.17,22.09,1674,231.64,89.55,13.6,519,85.06
2,44,20,33,8,65,46,285.1,144.4,19.39,18968,2571.27,51.8,6.54,567,105.25
2,57,8,3,2,66,59,27.4,191.06,25.57,2123,286.18,98.47,14.81,427,78.62
2,15,14,10,0,30,17,15.3,280.98,40.88,2033,275.6,115.42,18.21,497,80.92
2,26,18,7,0,45,28,17.5,311.49,46.54,2104,300.77,158.97,25.01,729,120.04
2,26,18,51,6,45,28,325.4,112.75,15.47,19974,2749.18,33.47,4.3,907,148.42
2,33,20,22,7,54,35,173.7,116.71,16.95,6719,1043.01,47.47,6.37,477,91.48
2,40,2,1,7,43,42,25.3,89.68,11.59,821,111.98,53.48,8.14,311,61.4
2,56,8,4,8,65,58,52.5,137.73,18.75,2763,406.46,71.81,9.92,413,76.86
2,4,12,34,10,17,6,355.3,15.15,2.29,1881,330.35,6.29,0.78,138,25.82
2,13,18,1,7,32,15,22.6,97.3,15.45,588,103.46,81.11,12.89,588,95.41
2,13,18,76,9,32,15,701.7,45.57,6.18,9080,1240.05,14.13,1.7,600,98.09
2,27,20,15,4,48,29,79.7,161.71,23.12,5801,792.11,68.93,10.07,899,148.23
2,38,16,25,6,55,40,169.5,147.1,20.75,12274,1792.5,52.34,6.89,688,113.74
2,38,16,54,10,55,40,561.8,96.79,13.18,26027,3810.17,35.02,4.07,949,159.3
2,39,18,16,5,58,41,99.2,188.61,26.2,8546,1160.21,73.08,10.26,776,128.44
2,56,20,22,7,77,58,177.6,191.49,26.12,14920,2037.38,74.89,9.9,780,137.03
2,56,20,48,1,77,58,74,643.59,96.15,28943,4408.04,130.19,18.96,650,109.31
2,56,20,89,7,77,58,651.8,188.65,24.96,53365,7191.77,50.59,5.93,868,130.54
2,8,20,11,10,29,10,125,36.92,5.52,1421,198.88,20.18,2.91,470,76.66
2,8,20,60,2,29,10,135.9,92.8,14.44,6566,1009.82,23.64,3.43,420,68.87
2,8,20,67,5,29,10,352,48.99,6.94,9140,1270.92,13.73,1.8,489,79.81
2,27,10,22,7,38,29,171.4,91.39,12.27,8152,1103.25,31.21,4.03,431,74.4
2,32,16,19,4,49,34,94.6,159.59,23.84,6965,1094.81,61.07,8.62,619,109.62
2,41,18,14,0,60,43,19.6,411.68,75.71,2525,670.82,195.61,29.77,612,100.34
2,41,18,59,10,60,43,611.9,113.58,14.89,19747,2661.22,38.33,4.47,854,143.53
2,41,18,71,6,60,43,448,165.43,22.14,38145,5169.6,41.99,5.07,754,127.3
2,60,20,29,4,81,62,140.2,316.18,44.07,19382,2668.91,96.67,13.28,744,122.47
1,0,9,25,3,9,1,89.6,8.84,1.51,160,35.91,3.54,0.54,39,7.25
1,0,9,67,9,9,1,618,5.47,0.82,889,125.36,1.23,0.16,36,6.19
2,14,20,26,7,35,16,198.6,57.02,8.7,4530,736.5,23.99,3.31,649,105.75
2,14,20,44,7,35,16,325.3,56.43,8.29,8348,1270.41,20.56,2.73,654,107.14
2,27,6,3,8,34,29,40.6,85.54,11.84,1264,171.19,48,7.2,395,68.2
2,32,14,24,0,47,34,19.6,614.29,99.46,6170,1092.93,178.21,26.85,585,101.17
