switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,14,32,5,2,96,6.68,33.4,17632.34,3630.95,53947,10862.88,17704.67,3451.46,54019,10429.65
8,14,32,10,2,96,6.68,42.7,12157.82,2393.08,53906,11503.84,12200.42,2265.59,56606,11077.11
8,14,32,20,2,96,6.68,83.2,7353.95,1530.29,53031,11961.37,7378.02,1437.99,54485,11469.17
8,14,32,30,2,96,6.68,122.8,3871.2,788.67,54012,12119.22,3838.04,756.87,54013,11569.72
8,14,64,5,2,128,6.59,37.2,16227.04,3272.76,54365,10755.17,16621.51,3093.43,56999,10458.36
8,14,64,10,2,128,6,43.4,3787.63,747.77,54011,10566.97,3689.61,705.88,53321,10003.62
8,14,64,20,2,128,6.59,65.6,7915.44,1601.28,53118,10585.78,7866.78,1475.02,53082,10051.93
8,14,64,30,2,128,6.59,84,5309.39,1053.12,53562,10748.47,5283.57,981.38,54619,10113.72
8,14,128,5,2,192,6.54,38.1,7394.8,1608.31,45935,9999.84,7872.86,1489.01,47078,8855.98
8,14,128,10,2,192,6.54,61.9,6604.2,1625.45,48592,10404.93,6813.13,1281.56,49367,9301.46
8,14,128,10,2,192,6,58,204.36,41.58,1449,357.48,167.28,28.09,1402,243.71
8,14,128,10,2,192,6,58,204.36,41.58,1449,357.48,167.28,28.09,1402,243.71
8,14,128,20,2,192,6.54,72.6,1328.87,282.56,45148,9881.66,1307.04,256.54,46145,9470.74
8,14,128,20,2,192,6.54,109.3,2929.78,640.01,47274,10142.21,3051.4,570.9,51294,9893.6
8,14,128,20,2,192,6.54,73.1,7037.72,1708.68,49785,10327.02,7174.76,1317.05,51702,9620.61
8,14,128,20,2,192,6.54,69.1,4514.36,1111.2,43168,9631.28,4707.06,909.94,46931,9245.55
8,14,128,20,2,192,6.54,68,239.44,45.19,2209,547.32,202.79,34.62,2560,476.43
8,14,128,20,2,192,6.54,68.7,537.42,111.91,16029,3712.23,604.86,118.99,21539,4184.56
8,14,128,20,2,192,6.54,80.4,4966.31,1194.36,47380,10204.43,5125.45,950.18,51904,9651.61
8,14,128,20,2,192,6.54,68.1,267.68,51.1,3270,620.29,233.64,40.9,4480,869.02
8,14,128,30,2,192,6.54,209.8,106.49,19.06,1359,286.45,78.32,12.97,1220,212.07
8,14,128,30,2,192,6.54,152.9,335.55,71.33,23299,5418.54,346.24,69.58,28053,5492.28
8,14,128,30,2,192,6.54,170.6,124.32,22.21,2339,376.19,88.46,14.79,1507,261.96
