switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,14,32,5,2,96,6.68,32.3,91.39,11.71,316,52.62,95.91,37.86,334,139.11
8,14,32,10,2,96,6.68,42.3,82.65,11.04,332,55.08,94.21,38.15,349,137.06
8,14,32,20,2,96,6.68,62.3,86.4,11.13,351,55,90.79,39.4,363,144.11
8,14,32,30,2,96,6.68,82.3,84.85,11.07,411,60.13,90.26,38.67,339,138.82
8,14,64,5,2,128,6,38.1,83.57,11.49,379,64.78,87.51,37.61,296,137.32
8,14,64,10,2,128,6,47.9,81.32,11.03,330,48.23,88.56,38.07,319,132.14
8,14,64,20,2,128,6.59,63.3,88.4,12.02,367,63.3,95.56,41.83,303,136.12
8,14,64,30,2,128,6,91.4,87.87,11.76,330,50.77,87.72,40.6,379,142.98
8,14,128,5,2,192,6,46.7,82.03,12.05,339,56.94,81.93,39.33,319,159.68
8,14,128,10,2,192,6,57.1,86.02,12.88,493,96.31,80.81,41.71,381,160.69
8,14,128,20,2,192,6,76.9,87.7,13.12,514,98.5,83.02,43.91,345,163.03
8,14,128,30,2,192,6,97.4,83.18,12.62,372,59.41,85.17,46.2,328,167.95
8,12,16,2,2,48,4.46,20.4,61.13,7.43,170,22.66,95.2,32.51,400,97.47
8,12,16,2,5,48,4.46,25.8,56.24,6.75,199,25.03,88.1,29.35,369,105.11
8,12,16,5,2,48,4.46,25.5,57.76,6.88,186,21.93,92.47,30.3,385,102.43
8,12,16,5,5,48,4.46,41.6,54.09,6.37,191,23.33,78.65,29.16,428,107.82
8,12,16,10,2,48,4.46,35.4,55.06,6.57,178,23.19,80.48,29.05,351,102.64
8,12,16,10,5,48,4.46,65.9,52.32,6.13,172,22.86,69.3,26.81,376,106.81
18,27,54,2,2,162,4.62,23.2,131.81,17.46,438,71.82,204.09,70.04,1045,268.05
18,27,54,2,5,162,4.62,29.3,124.81,16.49,490,76.69,177.99,65.59,1006,265.41
18,27,54,5,2,162,4.62,29.2,128.77,16.77,411,66.6,190.68,68.57,951,262.12
18,27,54,5,5,162,4.62,45,119.73,15.75,466,74.11,164.18,63.58,878,245.42
18,27,54,10,2,162,4.62,39.5,125.87,16.54,364,61.42,173.95,65.24,910,264.46
18,27,54,10,5,162,4.62,69.9,118.78,15.92,411,68.92,154.21,62.17,861,230.11
32,48,128,2,2,384,4.46,33.5,217.76,30.6,771,123.38,240,95.72,788,235.8
32,48,128,2,5,384,4.46,45.5,189.47,26.67,680,116.63,203.36,85.53,777,202.87
32,48,128,5,2,384,4.46,36.2,243.67,35.09,999,167.06,272.68,108.65,756,230.75
32,48,128,5,5,384,4.46,60.5,203.5,29.07,624,113.17,220.03,93.32,719,220.02
32,48,128,10,2,384,4.46,49.6,208.59,29.86,693,117.67,247.02,101.86,795,230.01
32,48,128,10,5,384,4.46,86,211.7,29.33,780,150.49,227.97,99.56,803,243.23
12,16,96,64,2,288,2.852631579,143.5,84.13,17.75,497,91.64,131.8,49.9,814,223.89
2,1,20,54,6,22,2.05,339.1,6.47,1.07,30,5.58,12.59,6.23,70,21.55
6,8,12,4,5,60,2.818181818,34.6,45.17,6.47,172,25.01,50.35,21.42,188,68.12
2,40,14,41,1,55,42,60.3,86.9,9.48,260,37.91,125.24,47.38,297,110.24
6,8,48,16,5,96,2.70212766,94.3,42.47,7.06,203,40.41,58.53,25.77,243,82.35
12,16,48,32,5,240,2.872340426,175.5,84.71,16.87,465,87.48,135.72,54.27,643,194.4
4,8,32,16,2,64,4.096774194,48.3,36.48,5,131,22.79,50.91,19.37,287,77.01
6,8,12,16,5,60,2.818181818,94.8,38.48,5.89,172,24.95,64.69,24.51,356,125.83
8,7,48,8,4,62,5.34,50,35,4.69,106,16.7,48.14,20.64,173,66.88
8,16,16,4,5,144,4.733333333,118.1,61.7,8.71,280,44.79,73.22,25.22,474,117.61
