switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,14,32,5,2,96,6.68,31.9,121.44,27.96,461,109.56,160.38,65.17,619,278.28
8,14,32,10,2,96,6.68,42.7,125.81,29.47,546,136.59,169.91,59.44,787,228.62
8,14,32,20,2,96,6.68,66.8,137.23,34.27,579,155.87,217.99,79.91,867,330.15
8,14,32,30,2,96,6.68,84,141.75,33.88,496,121.43,204.13,72.51,668,254.68
8,14,64,5,2,128,6.59,34.5,135.77,31.83,853,215.69,161.51,63.1,1109,270.7
8,14,64,10,2,128,6.59,52.5,122.76,29.71,763,196.28,158.38,53.1,1001,241.71
8,14,64,20,2,128,6.59,65.2,147.78,34.31,833,204.4,174.03,63.41,1077,269.61
8,14,64,30,2,128,6.59,88.5,154.26,37.58,717,172.27,203.82,71.9,813,272.17
8,14,128,5,2,192,6.54,39.1,154.12,37.09,669,145.98,156.96,63.46,964,273.33
8,14,128,10,2,192,6.54,59.5,135.61,33.9,696,162.11,137.09,57.41,821,267.21
8,14,128,20,2,192,6.54,80.1,145.76,37.32,805,208.24,153.21,61.93,885,294.09
8,14,128,30,2,192,6.54,90.4,174.57,42.49,796,170.29,174.23,65.84,1073,299.25
8,12,16,2,2,48,4.46,20.2,79.55,17.62,404,95.92,84.6,37.93,437,150.62
8,12,16,2,5,48,4.46,25.9,65.41,15.54,318,91.6,77.41,34.58,447,155.23
8,12,16,5,2,48,4.46,26.1,74.52,16.55,411,97.36,85.94,35.11,491,146.74
8,12,16,5,5,48,4.46,41.5,64.05,15.35,349,95.32,77.04,33.66,466,157.5
8,12,16,10,2,48,4.46,35.8,75.42,17.16,366,95.76,89.08,36.3,452,166.79
8,12,16,10,5,48,4.46,66.3,60.75,14.69,352,92.55,75.08,35.31,470,163.82
18,27,54,2,2,162,4.62,24.2,169.21,45.17,310,98.76,210.17,95.9,492,189.33
18,27,54,2,5,162,4.62,30.5,161.97,43.37,273,83.38,202.46,96.77,480,167.82
18,27,54,5,2,162,4.62,30.7,174.01,45.45,331,101.41,224.36,100.07,496,200.71
18,27,54,5,5,162,4.62,45.6,164.87,44.2,325,88.27,211.45,100.25,489,169.52
18,27,54,10,2,162,4.62,41,184.61,48.33,587,140.66,254.66,104.12,860,214.39
18,27,54,10,5,162,4.62,71.4,170.03,44.43,277,82.17,215.55,101.56,475,169.96
32,48,128,2,2,384,4.46,35.2,289.89,82.88,554,135.94,364.18,159.31,963,297.92
32,48,128,2,5,384,4.46,44.3,293.18,82.48,482,127.98,356.57,159.79,892,272.5
32,48,128,5,2,384,4.46,44,316.77,87.9,522,129.38,405.66,172.42,954,289.42
32,48,128,5,5,384,4.46,63.3,304.11,84.86,522,129.53,381.5,169.15,889,278.13
32,48,128,10,2,384,4.46,57.6,305.21,87.77,493,123.25,435.62,175.74,935,297.21
32,48,128,10,5,384,4.46,89.2,329.67,90.69,508,129.17,418.72,182.9,923,286.68
6,8,48,64,2,96,2.70212766,146.6,103.64,25.48,460,110.59,153.4,49.03,587,184.34
1,0,6,7,8,6,1,69.6,6.65,1.4,30,6.45,5.09,4.96,22,10.16
8,7,80,84,7,94,5.3,610.4,68.31,18.97,254,92.48,77.18,65.48,211,96.16
6,8,24,32,2,72,2.739130435,82.3,88.99,21.74,493,118.76,147.47,49.59,672,223.99
16,15,128,17,5,158,7.17,110.1,126.94,33.2,242,84.3,156.75,159.57,295,223.4
6,8,24,32,5,72,2.739130435,175.6,81.48,21.31,457,113.81,128.74,47.34,636,266.17
12,16,24,4,5,216,2.913043478,36.8,252.23,66.16,1180,303.32,364.7,117.31,1407,396.46
1,0,9,49,4,9,1,210.2,7.44,1.83,30,6.47,5.72,4.4,22,10.61
8,16,16,4,2,144,4.733333333,105.4,227.13,327.43,3913,6607,1338.39,861.91,34352,18209.64
2,39,16,49,0,56,41,39.3,459.67,90.41,662,130.21,674.15,206.12,929,291.86
2,30,14,39,4,45,32,183.7,85.63,21.25,299,62.07,139.22,35.8,462,155.61
4,8,8,4,5,40,4.428571429,35.9,70.89,18.95,250,53.55,119.05,39.93,383,87.33
32,31,288,35,2,350,9.09,117.8,241.62,67.07,427,127.67,319.22,257.2,484,506.92
12,16,96,16,2,288,2.852631579,51.3,280.37,74.72,1254,345.28,401.42,121.71,1519,474.03
8,16,64,16,2,192,4.555555556,182.6,180.66,149.52,2288,4165.83,1329.04,716.85,55882,25901.23
4,8,32,64,5,64,4.096774194,339,60.16,16.27,415,90.08,75.88,31.03,522,133.6
4,8,8,4,2,40,4.428571429,23.9,82.97,23.27,229,54.86,157.53,49.52,413,94.48
4,8,8,16,5,40,4.428571429,96.2,59.13,16.4,206,45.94,100.57,38.95,370,128.17
2,36,20,56,10,57,38,585.5,131.12,26.23,408,80.2,209.82,193.51,544,295.94
16,15,160,91,8,190,7.16,760.3,132.27,37.57,287,93.36,153.58,124.39,344,194.93
2,31,20,61,6,52,33,397.4,129.46,25.82,345,72.77,201.29,166.4,486,272.16
2,7,18,61,8,26,9,505.7,20.35,6.44,112,27.96,30.05,9.86,145,71.08
6,8,12,4,5,60,2.818181818,35.1,80.8,19.26,433,104.75,98.92,37.96,521,166.24
12,16,96,16,5,288,2.852631579,104.8,282.9,74.38,1186,346.89,354.43,119.27,1514,492.33
2,18,14,40,1,33,20,60.4,114.39,25.86,225,62.26,168.08,32.53,511,102.57
12,16,48,8,2,240,2.872340426,33.6,253.01,68.17,788,193.52,374.88,119.62,945,405.05
2,7,20,86,4,28,9,362.2,30.1,8.33,145,34.4,41.24,10.86,207,83.48
4,3,32,10,3,38,3.58,45.7,40.72,9.5,110,34.26,43.81,33.36,106,68.53
6,8,24,8,5,72,2.739130435,56.5,81.61,20.6,436,100.1,133.73,44.27,564,188.44
