switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,14,32,5,2,96,6.68,32.1,319.75,408.47,3832,9398.75,1879.97,403.28,27133,5809.48
8,14,64,5,2,128,6.59,34.9,132.46,31.75,930,232.08,144.96,60.39,1189,280.83
8,14,64,10,2,128,6.59,73.8,114.16,29.22,773,179.91,138.09,66.1,1085,300.84
8,14,64,20,2,128,6.59,65,134.35,34.34,779,195.93,143.08,57.3,1003,209.87
8,14,64,30,2,128,6.59,85.4,138.38,35.11,901,214.27,143.75,64.21,1131,263.57
8,14,128,5,2,192,6.54,39.3,148.42,37.03,867,217.64,142.85,62.36,908,347
8,14,128,10,2,192,6.54,49.2,154.51,39.28,624,139.88,138.68,63.62,902,272.37
8,14,128,20,2,192,6.54,69.4,163.01,42.67,894,193.99,140.61,63.15,1106,285.94
8,14,128,30,2,192,6.54,90.6,166.19,43.55,570,148.09,137.79,59.53,859,299.35
8,12,16,2,2,48,4.46,20.1,76.57,17.57,360,92.94,83.63,37.48,490,133.47
8,12,16,2,5,48,4.46,25.9,71.39,16.39,393,98.07,78.57,36.03,499,134.08
8,12,16,5,2,48,4.46,26,83,18.81,409,105.17,85.19,34.4,460,119.75
8,12,16,5,5,48,4.46,41.7,72.3,16.53,413,100.05,77.87,35.75,541,141.35
8,12,16,10,2,48,4.46,35.9,80.75,18.43,373,99.87,85.93,37.01,526,147.03
8,12,16,10,5,48,4.46,66.3,67.83,16.19,411,100.38,77.27,34.79,491,148.96
18,27,54,2,2,162,4.62,23.6,177.03,47.06,484,145.27,201.06,90.48,662,195.3
18,27,54,2,5,162,4.62,27.9,166.74,47.42,285,82.7,213.01,101.51,489,171.34
18,27,54,5,2,162,4.62,31.3,165.37,44.73,331,110.79,196.84,92.69,615,194
18,27,54,5,5,162,4.62,48.1,160.81,42.68,387,116.38,185.55,90.35,509,181.35
18,27,54,10,2,162,4.62,42.3,166.12,44.94,412,127.38,194.28,94.89,569,194.88
18,27,54,10,5,162,4.62,70.5,159.72,44.22,489,125.75,193.56,98.95,566,213.55
32,48,128,2,2,384,4.46,32.6,306.96,89.05,526,145.99,367.7,165.21,605,256.87
32,48,128,2,5,384,4.46,38.9,323.16,90.4,652,177.09,373.47,170.19,658,285.72
32,48,128,5,2,384,4.46,53.1,244.01,72.67,531,134.24,300.02,137.1,588,265.05
32,48,128,5,5,384,4.46,68.2,267.43,77.62,514,130.46,321.57,151.22,516,258.54
32,48,128,10,2,384,4.46,52.8,317.97,94.03,502,150.71,388.45,180.64,640,264.82
32,48,128,10,5,384,4.46,97,296.1,84.2,550,139.15,345.98,165.76,555,255.59
2,10,14,36,10,25,12,377.2,22.99,6.85,183,43.16,35.21,13.95,182,78.95
2,11,20,19,3,32,13,73.5,40.1,10.98,184,45.89,57.4,15.19,200,46.92
12,16,96,16,2,288,2.852631579,52.9,279.58,76,956,280.25,308.71,113.26,1227,438.53
4,3,40,56,10,46,3.56,577.5,21.2,7.99,164,39.1,17.55,7.09,91,35.33
32,31,320,31,9,382,9.09,325.1,170.67,64.67,349,141.29,145.22,75.6,411,178.07
4,8,8,16,2,40,4.428571429,48.2,126.76,61.65,1828,1259.12,254.13,65.16,4914,1024.99
2,37,20,14,3,58,39,65.1,93.15,25.36,265,63.26,160.75,43.47,453,118.16
12,16,24,4,2,216,2.913043478,24.8,253.67,68.5,1078,275.85,312.34,114.29,1368,406.23
8,16,64,16,5,192,4.555555556,200.4,311.8,248.06,13503,5764.45,1035.97,618.42,27419,14036.84
12,16,48,32,5,240,2.872340426,188.6,254.22,67.29,1217,320.54,292.68,111.08,1421,454.08
2,35,18,12,2,54,37,47.6,98.36,25.7,320,65.23,169.1,45.21,477,100.76
1,0,10,66,0,10,1,14.7,21.63,4.98,173,39.14,18.64,3.44,183,25.61
8,16,16,16,2,144,4.733333333,126.7,114.17,32.75,1720,712.64,157.73,62.92,1066,330.72
2,58,14,23,6,73,60,175.4,110.54,30.05,354,82.54,201.23,63.63,561,167.23
4,8,8,16,5,40,4.428571429,96.4,109.21,49.53,3167,1704.27,211.43,57.5,6388,1245.9
6,8,48,16,5,96,2.70212766,96,141.98,81.45,4464,5253.57,300.35,77.46,17021,3268.6
6,8,12,16,5,60,2.818181818,95.2,89.25,82.98,1025,4807.07,539.25,135.03,25245,5023.63
32,31,320,54,5,382,9.09,317.5,179.4,68.72,423,155.2,153.74,74.02,413,201.18
8,16,64,16,2,192,4.555555556,174.6,219.59,245.48,3367,5792.27,1187.34,713.98,24576,13462.89
2,2,18,77,4,21,4,324.3,13.56,4.58,84,20.69,15.88,4.86,80,32
1,0,10,65,3,10,1,210,5.74,1.85,26,7.29,3.9,1.15,25,6.78
2,1,20,47,8,22,2.05,391.4,9.99,3.77,72,18.57,7.93,3.24,41,22.83
16,15,160,100,6,190,7.16,631.9,87.05,34.43,305,103.04,77.71,34.88,338,115.94
8,7,72,27,6,86,5.31,181.2,43.05,16.56,268,72.47,41.51,17.25,203,100.68
2,58,14,44,9,73,60,447.6,99.56,27.55,366,86.95,180.68,69.46,550,181.89
6,8,48,16,2,96,2.70212766,47.8,139.85,151.37,1938,5744.56,513.97,119.93,17665,3445.49
2,28,18,69,5,47,30,373,66.3,18.06,227,54.49,111.25,30.45,372,108.86
