switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,14,32,10,2,96,6.68,42.6,171.88,31.41,430,89.98,222.54,127.42,551,230.01
8,14,32,20,2,96,6.68,64.6,179.13,31.48,602,129.74,241.64,129.89,859,189.94
8,14,32,5,2,96,6.68,32.2,170.34,33.5,607,150.37,226.46,146.28,796,329.02
8,14,32,10,2,96,6.68,42.8,178.13,34.75,706,167.98,236.68,127.15,935,264.46
8,14,32,20,2,96,6.68,62.6,188.56,36.16,590,136.43,246.36,139.14,761,283.49
8,14,32,30,2,96,6.68,85.1,189.53,38.48,800,183.6,269.49,145.35,1070,329.44
8,14,64,5,2,128,6,38,169.82,33.99,694,172.55,208.79,165.75,851,293.29
8,14,64,10,2,128,6.59,44.4,185.27,37.45,850,201.73,233.09,167.2,1050,274.66
8,14,64,20,2,128,6.59,64.9,199.63,40.19,700,174.28,246.81,159.06,928,281.88
8,14,64,30,2,128,6.59,87.3,203.87,40.71,895,214.41,251.29,161.09,1101,295.15
8,14,128,5,2,192,6,49.5,171.74,35.75,752,179.02,180.16,150.31,830,346.92
8,14,128,10,2,192,6,59.5,180.29,38.75,858,203.32,197.88,170.8,888,346.92
8,14,128,20,2,192,6,79.5,201.16,42.92,774,186.17,217.99,166.71,797,344.72
8,14,128,30,2,192,6,100.7,212.22,45.28,753,224.46,228.65,170.52,905,361.54
8,12,16,2,2,48,4.46,19.9,105.93,19.72,336,85.33,124.97,92.27,469,138.33
8,12,16,2,5,48,4.46,25.9,94.67,18.73,339,93.41,121.7,122.66,473,156.54
8,12,16,5,2,48,4.46,26.2,112.25,20.48,419,98.61,131.18,87.07,492,150.44
8,12,16,5,5,48,4.46,41.3,100.41,18.97,417,99.87,122.45,117.39,480,151.05
8,12,16,10,2,48,4.46,36.3,107.77,20.51,362,93.4,134.41,84.84,460,150.42
8,12,16,10,5,48,4.46,66.2,94.05,18.32,346,93.32,121.78,74.03,474,148.69
18,27,54,2,2,162,4.62,24.2,234.3,51.49,393,105.81,293.97,202.6,580,342.27
18,27,54,2,5,162,4.62,30.2,233.41,51.49,373,98.41,295.7,290.17,576,358.94
18,27,54,5,2,162,4.62,28.1,311.32,66.74,993,277.11,430.85,169.54,1351,362.55
18,27,54,5,5,162,4.62,46.3,232.38,51.23,360,94.91,306.5,204.84,537,353.74
18,27,54,10,2,162,4.62,38,291.92,62.4,1002,245.7,420.47,266.84,1416,363.01
18,27,54,10,5,162,4.62,72.3,236.29,51.66,402,96.29,313.86,216.01,582,350.02
32,48,128,2,2,384,4.46,28.2,513.76,122.26,1363,386.57,699.65,338.25,2204,673.35
32,48,128,2,5,384,4.46,48.2,379.69,88.99,650,137.3,467.51,372,1057,686.11
32,48,128,5,2,384,4.46,34.9,498.51,119.02,1290,367.28,710.92,469.85,1819,658.71
32,48,128,5,5,384,4.46,64.5,405.05,95.92,634,140.75,526.82,400.62,1141,686.41
32,48,128,10,2,384,4.46,57.2,434.56,101.68,653,140.9,592.76,419.61,1120,661.7
32,48,128,10,5,384,4.46,90.8,452.32,103.12,700,151.81,576.08,425.68,1157,690.41
6,8,24,32,2,72,2.739130435,80.2,115.86,24.55,476,113.98,185.44,106.36,612,221.73
2,40,16,23,5,57,42,141.9,100.23,25.04,411,82.81,162.71,43.8,481,131.44
2,32,18,78,0,51,34,47.8,479.12,94.37,810,166,694.83,186.1,1214,261.57
6,8,12,16,2,60,2.818181818,47.6,107.54,22.29,367,87.12,165.71,104.17,487,224.6
4,8,8,16,2,40,4.428571429,48.2,90.41,20.59,184,50.26,143.86,65.17,343,148.69
2,45,20,40,7,66,47,304.4,173.88,34.2,445,90.86,276.38,176.83,595,268.63
2,20,18,3,0,39,22,17.7,95.65,18.88,466,87.76,140.56,89.03,510,134.12
4,3,40,10,1,46,3.56,27.2,55.22,12.4,141,43.77,54.26,29.26,91,46.92
8,7,80,81,1,94,5.3,102.8,106.01,25.48,232,74.11,123.04,58.79,206,98.34
1,0,10,60,3,10,1,194.3,8.38,2.06,29,6.58,6.33,3.44,22,5.37
2,29,18,43,1,48,31,69.7,227.12,43.94,352,75.46,329.68,106.77,557,206.21
6,8,24,32,5,72,2.739130435,175.3,110.44,24.18,401,89.41,162.99,111.26,571,269.5
2,49,16,31,9,66,51,317,173.57,33.98,480,95.29,282.52,256.1,596,393.15
6,8,24,8,2,72,2.739130435,31.3,113.51,24.33,434,111.16,149.33,109.66,605,153.21
2,1,16,23,4,18,2.07,106.9,16.51,4.14,65,13.28,18.12,12.34,50,29.72
1,0,10,97,9,10,1,888.1,4.75,1.65,36,8.24,4.46,3.88,26,9.41
6,8,24,8,5,72,2.739130435,55.8,108.39,23.15,340,86.19,155.02,102.45,567,237.34
12,16,48,8,5,240,2.872340426,57.7,303.02,72.75,1084,306.35,398.82,275.04,1414,438.23
12,16,24,16,2,216,2.913043478,49.6,303.35,72.42,1035,275.64,476.27,282.71,1278,621.18
12,16,96,16,5,288,2.852631579,95.7,345.29,82.25,959,273.63,416.41,297.29,1179,422.13
2,47,16,30,1,64,49,66.8,294.42,56.63,514,98.77,441.45,210.44,778,321.98
2,19,20,9,8,40,21,89.7,78.56,16.07,222,48.47,119.25,78.99,285,130.05
4,8,8,4,2,40,4.428571429,23.8,103.24,25.09,257,48.48,178.78,69.37,353,105.38
16,15,128,24,3,158,7.17,98.4,135.57,34.99,323,88.56,170.87,131.64,433,215.87
2,46,20,48,8,67,48,427.6,171.23,33.68,446,87.26,273.04,232.39,605,355.12
2,32,18,36,9,51,34,350.2,120.46,23.93,328,78.44,190.63,126.56,477,188.68
2,28,10,8,7,39,30,75.2,109.69,20.92,305,58.38,172.31,130.22,391,193.09
2,13,20,29,6,34,15,192.9,63.2,13.23,206,45.28,92.25,69.06,267,120.96
12,16,24,4,2,216,2.913043478,25.4,299.13,73.09,962,245.08,426.1,264.14,1213,402.56
4,3,40,41,5,46,3.56,222.3,33.68,9.52,148,46.45,39.23,37.68,86,60.74
16,15,160,28,9,190,7.16,278.6,132.03,37.23,341,141.49,152.45,175.56,379,235.02
12,16,24,4,5,216,2.913043478,37.1,295.34,70.54,1036,261.32,394.1,275.27,1312,417.02
