switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,2,60,2.818181818,22.9,84.37,17.76,280,59.7,109.96,31.25,363,110.93
6,8,12,4,5,60,2.818181818,35,73.97,14.71,330,62.21,105.09,28,569,110.25
6,8,12,16,2,60,2.818181818,46.9,85.07,17.98,290,63.59,112.56,32.54,359,121.24
6,8,12,16,5,60,2.818181818,95.2,77.64,19.76,286,76.73,177.44,58.34,746,262.84
6,8,24,8,2,72,2.739130435,32.3,87.49,19.26,426,92.84,108.61,30.85,519,106.41
6,8,24,8,5,72,2.739130435,55.6,80.25,17.67,330,66.86,104.95,30.58,431,92.94
6,8,24,32,2,72,2.739130435,81.5,83.95,19.22,348,72.34,145.73,40.21,527,187.21
6,8,24,32,5,72,2.739130435,177.1,78.2,19.45,338,70.89,126.6,41.29,676,189.29
6,8,48,16,2,96,2.70212766,48.2,102.78,22.74,366,73.45,123.26,33.46,407,116.34
6,8,48,16,5,96,2.70212766,97.8,93.74,21.94,377,75.58,118.21,36.14,502,152.33
6,8,48,64,2,96,2.70212766,147.6,97.25,23.78,448,95.7,154.02,43.12,547,166.35
6,8,48,64,5,96,2.70212766,340.2,89.25,21.38,362,91.96,139.27,43.05,947,270.17
4,8,8,4,2,40,4.428571429,23.9,65.31,17.09,243,47.44,127.82,41.53,358,106.43
4,8,8,4,5,40,4.428571429,36,60.75,15.56,239,47.56,107.42,36.32,359,97.62
4,8,8,16,2,40,4.428571429,48.5,63.3,15.06,233,41.75,103.88,33.26,324,103.9
4,8,8,16,5,40,4.428571429,96.3,54.85,14.45,168,48.1,96.12,35.01,293,118.44
4,8,32,16,2,64,4.096774194,50.1,74.95,18.14,226,50.54,113.21,36.52,335,132.81
4,8,32,16,5,64,4.096774194,97.9,65.57,16.58,263,53.8,92.61,32.2,437,102.7
4,8,32,64,2,64,4.096774194,148.3,74.67,17.62,251,48.94,101.07,32.57,408,117.92
4,8,32,64,5,64,4.096774194,339.2,58.47,14.9,289,59.05,72.83,26.62,438,163.86
8,16,16,4,2,144,4.733333333,112.6,95.01,23.73,743,146.12,172.95,53.98,2506,491.93
8,16,16,4,5,144,4.733333333,118.1,82.93,22.7,491,131.16,172.85,65.92,1653,792.05
2,1,20,60,4,22,2.05,255.2,17.71,4.26,70,14.97,18.03,12.93,74,18.87
2,18,20,15,9,39,20,153.4,38.01,9.27,179,38.71,61.48,23.07,320,80.62
2,2,20,44,8,23,4,369.3,18.97,4.6,89,17.88,21.67,15.67,89,23.24
2,10,16,15,10,27,12,168.6,43.68,8.51,149,29.23,62.42,38.54,171,59.01
1,0,10,6,3,10,1,31.7,8.36,1.9,29,7.47,6.21,1.79,27,7.35
2,6,6,3,1,13,8,17.4,37.82,6.62,95,17.64,55.11,28.53,142,43.06
2,1,20,80,10,22,2.05,816.8,13.56,3.75,70,14.04,14.1,11.89,67,19.54
2,5,16,22,8,22,7,191.8,33.08,4.91,193,36.8,43.34,27.35,232,63.66
1,0,9,1,8,9,1,21.9,7.63,1.56,22,4.73,7.4,4.17,27,7.27
1,0,5,16,5,5,1,93.6,5.61,1.08,21,3.9,4.94,3.62,20,6.21
2,20,14,23,5,35,22,133.5,161.75,32.11,697,146.83,213.83,98.93,812,223.71
8,7,24,3,9,38,5.43,46,47.91,8.84,126,21.41,65.61,44.69,137,61.09
2,1,20,8,9,22,2.05,86.9,9.61,1.1,64,9.89,14.27,12.93,67,21.35
2,6,10,25,2,17,8,61.8,33.4,7.09,114,23.58,46.73,12.31,192,56.24
2,3,20,85,9,24,5,783.3,13.57,2.5,129,24.6,18.02,6.54,162,45.71
1,0,5,22,7,5,1,167.6,5.32,1.03,21,3.45,4.49,3.42,21,5.79
2,14,18,17,9,33,16,170.4,57.65,11.24,170,33.32,86.15,52.12,245,73.66
2,1,10,20,5,12,3,114.4,10.31,2.6,64,14.38,11.12,3.72,59,18.76
2,13,18,38,7,32,15,280.9,57.75,11.19,179,35.81,84.63,54.23,193,87.57
2,19,18,11,5,38,21,73.9,82.71,15.26,200,42.74,124.1,75.16,331,111.77
8,7,72,50,3,86,5.31,171.5,70.36,17.31,236,56.93,86.3,57.65,338,88.4
4,3,28,41,7,34,3.59,303.3,35.78,7.45,128,28.61,35.59,23.87,145,38.98
