switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,2,60,2.818181818,22.3,52.91,8.51,144,26.19,60.94,20.64,182,72.99
6,8,12,4,5,60,2.818181818,34.5,44.84,7.29,145,26.25,53.57,18.15,176,68.34
6,8,12,16,2,60,2.818181818,46.5,41.4,6.77,138,25.8,53.2,18.49,180,67.92
6,8,12,16,5,60,2.818181818,94,41.36,6.59,190,39.72,56.84,21.95,241,104.43
6,8,24,8,2,72,2.739130435,31.4,46.15,7.72,161,28.78,56.5,21.49,201,78.22
6,8,24,8,5,72,2.739130435,54.2,41.61,7.2,137,27.23,54.69,20.97,203,85.41
6,8,24,32,2,72,2.739130435,78.4,40.08,6.73,151,28.14,62.18,24.07,220,101.19
6,8,24,32,5,72,2.739130435,176.3,40.79,6.8,220,44.73,55.37,25.88,271,124.91
6,8,48,16,2,96,2.70212766,46.5,48.97,8.45,164,31.91,55.83,25.03,241,84.53
6,8,48,16,5,96,2.70212766,94.9,46.8,7.99,227,36.14,56.53,28.31,245,111.32
6,8,48,64,2,96,2.70212766,144.2,41.09,7.49,177,32.81,55.18,26.28,252,104.78
6,8,48,64,5,96,2.70212766,336.6,42.89,7.4,191,33.71,48.69,28.13,250,131.39
4,8,8,4,2,40,4.428571429,23.1,36.23,4.81,106,15.81,51.65,18.2,233,69.54
4,8,8,4,5,40,4.428571429,35.1,34.07,4.64,118,20.37,44.42,15.1,252,83
4,8,8,16,2,40,4.428571429,47.3,33.51,4.42,110,16.06,48.86,16.16,240,72.22
4,8,8,16,5,40,4.428571429,95.3,30.7,4.12,111,16.13,38.11,12.71,230,69.31
4,8,32,16,2,64,4.096774194,48.3,36.13,5.33,139,20.13,47.06,18.59,312,107.36
4,8,32,16,5,64,4.096774194,96.4,33.04,4.95,142,20.51,40.93,17.57,319,106.15
4,8,32,64,2,64,4.096774194,145.7,32.66,4.88,127,20.13,38.33,18.38,276,92.19
4,8,32,64,5,64,4.096774194,336.9,33.13,4.81,123,19.87,34.17,16.61,263,76.59
8,16,16,4,2,144,4.733333333,106.8,61.02,9.36,300,52.46,73.58,28.32,535,219.78
8,16,16,4,5,144,4.733333333,117.6,61.22,9.57,284,51.57,74.06,28.86,581,230.61
8,16,16,16,2,144,4.733333333,122.2,60.72,9.55,280,50.18,77.17,30.39,589,239.02
8,16,16,16,5,144,4.733333333,134.7,60.91,9.56,299,52.31,81.62,32.22,595,236.08
8,16,64,16,2,192,4.555555556,187.3,62.15,11.48,293,65.64,70.1,30.29,610,256.57
8,16,64,16,5,192,4.555555556,186.9,54.94,10.43,281,56.59,64.68,25.29,692,270.39
8,16,64,64,2,192,4.555555556,198.4,60.74,10.73,512,99.19,76.58,35.56,717,273.66
8,16,64,64,5,192,4.555555556,399.7,49.04,9.7,314,61.57,63.81,29.66,664,272.1
12,16,24,4,2,216,2.913043478,23.1,122.38,21.75,400,90.79,152.99,61.29,686,309.55
12,16,24,4,5,216,2.913043478,34.9,114.7,21.62,535,98.97,150.23,56.03,674,309.39
12,16,24,16,2,216,2.913043478,47,102.34,19.69,435,90.25,138.45,52.17,652,279.14
12,16,24,16,5,216,2.913043478,95.1,95.96,19,414,87.13,146.94,55.91,654,311.95
12,16,48,8,2,240,2.872340426,31.4,123.31,22.71,453,97.21,151.4,59.89,722,323.14
12,16,48,8,5,240,2.872340426,55.8,108.41,20.97,481,91.83,142.56,54.76,712,314.61
12,16,48,32,2,240,2.872340426,79.8,91.47,19.4,533,95.43,135.71,49.53,726,320.5
12,16,48,32,5,240,2.872340426,175.1,86.86,18.62,497,96.42,135.35,61.62,723,322.28
12,16,96,16,2,288,2.852631579,47.7,123.61,24.65,610,136.74,155.62,67.61,795,339.87
12,16,96,16,5,288,2.852631579,95.5,92.24,20.8,458,123.24,146.17,72.43,796,342.16
