switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,2,60,2.818181818,23.1,136.67,116.17,1524,2297.55,607.4,138.24,12257,2431.57
6,8,12,4,5,60,2.818181818,35.4,209.29,210.51,3217,5113.58,1028.16,225.07,20832,4428.86
6,8,12,16,2,60,2.818181818,47,142.04,174.1,2911,6707.71,961.4,211.88,23547,5052.96
6,8,12,16,5,60,2.818181818,95.2,89.25,82.98,1025,4807.07,539.25,135.03,25245,5023.63
6,8,24,8,2,72,2.739130435,32.3,229.88,356.69,3902,8401.96,1613.31,332.74,33171,6363.86
6,8,24,8,5,72,2.739130435,55.5,193.68,159.39,5879,6047.16,637.98,156.6,20750,4626.52
6,8,24,32,2,72,2.739130435,83,173.17,126.5,6562,5207.98,604.81,136.53,23648,4372
6,8,24,32,5,72,2.739130435,177.2,93.52,71.28,2059,6476.07,276.02,85.16,19244,4658.29
6,8,48,16,2,96,2.70212766,47.8,139.85,151.37,1938,5744.56,513.97,119.93,17665,3445.49
6,8,48,16,5,96,2.70212766,96,141.98,81.45,4464,5253.57,300.35,77.46,17021,3268.6
6,8,48,64,2,96,2.70212766,144.8,138.05,102.76,5044,10007.51,310.46,83.02,19565,3765.97
4,8,8,4,2,40,4.428571429,23.9,253.18,147.52,3092,1958.97,666.32,143.49,9854,1894.84
4,8,8,4,5,40,4.428571429,35.9,247.02,153.21,4178,2455.03,624.85,137.87,10706,2080.75
4,8,8,16,2,40,4.428571429,48.2,126.76,61.65,1828,1259.12,254.13,65.16,4914,1024.99
4,8,8,16,5,40,4.428571429,96.4,109.21,49.53,3167,1704.27,211.43,57.5,6388,1245.9
4,8,32,16,2,64,4.096774194,49.6,90.54,29.59,560,407.73,112.22,35.69,440,95.83
4,8,32,16,5,64,4.096774194,97.8,115.03,46.14,3075,2119.17,139.91,43.89,5107,950.81
4,8,32,64,2,64,4.096774194,146.9,79.64,27.53,1488,1272.86,104.93,35.19,2218,419.89
4,8,32,64,5,64,4.096774194,338.9,58.8,19.17,1124,1171.13,73.35,29.48,1818,338.46
8,16,16,4,2,144,4.733333333,112.2,229.23,277.95,4272,7561.67,1048.76,588.37,39320,17584.46
8,16,16,4,5,144,4.733333333,118.3,222.54,93.96,7300,4724.1,304.4,90.4,10685,1992.55
8,16,16,16,2,144,4.733333333,126.7,114.17,32.75,1720,712.64,157.73,62.92,1066,330.72
8,16,16,16,5,144,4.733333333,139.6,192.26,226.99,3408,4980.27,1818.55,1243.62,40967,18713.43
8,16,64,16,2,192,4.555555556,174.6,219.59,245.48,3367,5792.27,1187.34,713.98,24576,13462.89
8,16,64,16,5,192,4.555555556,200.4,311.8,248.06,13503,5764.45,1035.97,618.42,27419,14036.84
12,16,24,4,2,216,2.913043478,24.8,253.67,68.5,1078,275.85,312.34,114.29,1368,406.23
12,16,48,8,5,240,2.872340426,57.5,246.09,67.5,1081,291.69,315.23,113.63,1321,420.32
12,16,48,32,2,240,2.872340426,84.4,252.82,68.97,943,267.22,316.53,116.87,1251,467.02
12,16,48,32,5,240,2.872340426,188.6,254.22,67.29,1217,320.54,292.68,111.08,1421,454.08
12,16,96,16,2,288,2.852631579,52.9,279.58,76,956,280.25,308.71,113.26,1227,438.53
12,16,96,16,5,288,2.852631579,96.4,283.66,76.59,972,268.15,286.86,110.82,1102,413.91
12,16,96,64,2,288,2.852631579,150.3,291.46,77.2,942,281.75,299.1,112.62,1268,434.86
2,58,14,44,9,73,60,447.6,99.56,27.55,366,86.95,180.68,69.46,550,181.89
2,11,20,19,3,32,13,73.5,40.1,10.98,184,45.89,57.4,15.19,200,46.92
32,31,320,31,9,382,9.09,325.1,170.67,64.67,349,141.29,145.22,75.6,411,178.07
2,36,10,5,7,47,38,47.2,72.58,19.22,272,61.63,126.36,38.53,407,120.63
32,31,320,54,5,382,9.09,317.5,179.4,68.72,423,155.2,153.74,74.02,413,201.18
2,35,18,12,2,54,37,47.6,98.36,25.7,320,65.23,169.1,45.21,477,100.76
2,19,20,45,7,40,21,328.9,43.87,12.43,163,39.3,68.3,22.39,231,109.24
8,7,72,27,6,86,5.31,181.2,43.05,16.56,268,72.47,41.51,17.25,203,100.68
1,0,8,47,9,8,1,437.4,3.7,1.27,28,6.9,1.97,0.67,19,5.13
4,3,28,11,0,34,3.59,16.2,50.25,12.78,261,73.29,39.38,9.93,176,28.58
2,10,14,36,10,25,12,377.2,22.99,6.85,183,43.16,35.21,13.95,182,78.95
1,0,10,65,3,10,1,210,5.74,1.85,26,7.29,3.9,1.15,25,6.78
16,15,160,1,3,190,7.16,28.9,73.98,27.52,233,89.54,90.35,33.55,404,131
16,15,160,100,6,190,7.16,631.9,87.05,34.43,305,103.04,77.71,34.88,338,115.94
2,2,18,77,4,21,4,324.3,13.56,4.58,84,20.69,15.88,4.86,80,32
1,0,7,42,7,7,1,308.3,3.82,1.2,27,6.38,2.25,0.71,16,4.97
32,31,64,1,7,126,9.19,31.7,102.43,31,265,78.26,178.71,85.21,528,154.08
1,0,10,34,5,10,1,184.5,5.6,1.73,30,6.96,2.74,0.88,19,4.37
2,6,18,16,10,25,8,176.4,17.34,5.71,140,35.15,23.43,9.22,105,62.63
2,37,20,14,3,58,39,65.1,93.15,25.36,265,63.26,160.75,43.47,453,118.16
2,47,20,21,3,68,49,94.2,117.3,30.83,305,73,202.8,54.83,454,133.9
2,52,14,20,1,67,54,52.9,169.4,41.99,365,86.6,286.45,64.98,835,173.93
