switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
8,12,16,5,2,48,4.46,ㄴ,4.0553,2830.23,44,164456,3.410138,548.6452,44,164456
8,12,16,10,2,48,4.46,118.9,3.857515,2670.339,66,164188,3.266725,520.7298,66,164188
8,12,16,20,2,48,4.46,144.1,3.132022,2159.368,60,165092,2.654494,421.8539,60,165092
8,12,16,30,2,48,4.46,163.4,2.815839,1933.551,56,165090,2.350723,375.8642,56,165090
18,27,54,5,2,162,4.62,157.6,3.910714,2740.643,42,164192,3.285714,530.2857,42,164192
18,27,54,10,2,162,4.62,150.3,3.668831,2499.237,46,166728,3.181818,495.3247,46,166728
18,27,54,20,2,162,4.62,172.8,2.896282,2004.971,54,164602,2.400522,387.4234,54,164602
18,27,54,30,2,162,4.62,191.5,2.64988,1841.811,52,165220,2.194245,355.3957,52,165220
32,48,128,5,2,384,4.46,207.48,3.781942,2618.075,44,164194,3.202726,510.5281,44,164194
32,48,128,10,2,384,4.46,212.84,3.487824,2414.375,44,164948,2.985075,472.9615,44,164948
32,48,128,20,2,384,4.46,213.8,3.036936,2102.285,44,165088,2.585499,411.0534,44,165088
32,48,128,30,2,384,4.46,233.3,2.581776,1794.521,42,164190,2.149533,346.9159,42,164190
8,24,32,5,2,96,6.68,137.9,3.607648,2549.227,42,164950,3.092269,495.9601,38,5882
8,24,32,10,2,96,6.68,153.9,3.374046,2345.237,44,101326,2.885496,458.5649,36,6338
8,24,32,20,2,96,6.68,176.3,3.022163,2066.904,44,164952,2.511753,401.773,36,6338
8,24,32,30,2,96,6.68,186.6,2.708209,1844.817,46,165090,2.312762,363.3313,38,6498
8,24,64,5,2,128,6.59,137.1,3.955095,2662.418,54,96940,3.316062,522.2798,42,6842
8,24,64,10,2,128,6.59,137.5,3.46875,2401.141,44,164314,2.953125,469.3125,36,6338
8,24,64,20,2,128,6.59,164.6,2.936142,2024.305,46,164188,2.462146,393.6801,38,6474
8,24,64,30,2,128,6.59,178.9,2.588235,1806.365,46,164186,2.188235,350.9647,38,6474
8,24,128,5,2,192,6.54,124.8,3.685545,2593.508,42,164188,3.144548,504.3449,34,5882
8,24,128,10,2,192,6.54,142.4,3.118356,2176.343,44,164186,2.650602,424.1531,36,6042
8,24,128,20,2,192,6.54,162.1,2.910496,1982.601,44,164322,2.42112,386.0914,36,6338
8,24,128,30,2,192,6.54,187.2,2.416035,1665.753,44,164058,2.069339,326.8906,36,6018
2,51,6,7,7,58,53,162.5,2.72,1721.673846,84,165222,2.276923077,444.4676923,70,14130
2,18,20,36,10,39,20,979.1,0.447349607,266.7204576,72,164954,0.375855377,63.989378,62,10940
2,33,20,82,4,54,35,949.7,0.461198273,288.0825524,72,164950,0.387490787,70.48752238,62,10940
2,1,20,82,3,22,3,877.2,0.497036024,281.495668,72,164046,0.424076607,68.01641587,62,10940
4,3,28,45,7,34,3.59,671.2,0.649582837,366.9845054,70,164458,0.539332539,87.8784267,62,10940
8,7,24,5,5,38,5.43,172.5,2.515942029,1435.849275,72,164960,2.12173913,343.5130435,60,10450
16,15,160,9,7,190,7.16,742.4,0.60075431,364.7952586,112,164994,0.498383621,80.18318966,92,16262
2,0,16,63,9,17,2,986.6,0.439894587,246.6511251,82,165358,0.362862356,59.50942631,66,11628
2,11,16,32,2,28,13,476.8,0.922818792,530.2978188,64,164952,0.780201342,127.7684564,52,9844
2,2,20,81,5,23,4,1070.5,0.412891172,231.8262494,74,165094,0.343764596,55.48061653,62,10940
32,31,256,53,8,318,9.09,1169.8,0.376132672,251.5233373,64,164946,0.323132159,51.35236793,54,9980
2,20,18,44,6,39,22,759.7,0.581808609,344.5965513,90,164998,0.489666974,83.58036067,74,12492
2,12,20,28,6,33,14,773.1,0.556202302,330.6428664,86,165224,0.465657742,78.11408615,70,12220
2,31,18,32,8,50,33,754.6,0.591041611,362.4754837,86,167466,0.495626822,88.52637159,72,12220
2,46,18,13,10,65,48,636.6,0.697455231,445.2748979,84,165226,0.584354383,111.4231857,68,12700
2,21,16,54,3,38,23,578.6,0.763912893,451.5796751,70,164596,0.642931213,110.2350501,62,10972
4,3,20,22,0,26,3.63,193.5,2.253229974,1259.700258,98,168654,1.860465116,304.124031,76,13044
4,3,32,32,2,38,3.58,497.7,0.876029737,497.4964838,70,164952,0.739401246,119.3329315,56,8882
4,3,28,45,8,34,3.59,709.8,0.614257537,347.1146802,70,165014,0.518455903,83.67427444,60,10676
2,54,16,55,8,71,56,917.1,0.481953985,314.7682914,72,164460,0.401264857,79.54203467,62,14836
2,46,20,67,5,67,48,964.3,0.45836358,295.1965156,70,165226,0.383698019,73.41698642,58,12700
2,57,14,43,10,72,59,746.4,0.597534834,388.7379421,86,164956,0.498392283,99.24705252,72,15982
2,40,20,14,0,61,42,608.8,0.729303548,459.609067,86,168788,0.601182654,113.022339,70,12220
16,15,160,61,6,190,7.16,1031.2,0.432505818,262.5989139,88,164970,0.358805275,57.72692009,72,12356
