switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
2,4,4,2,9,9,6,32.2,15,1.6,44,4.89,18.01,6.71,46,21.31
2,10,20,28,0,31,12,16.7,30.9,4,97,14.03,96.47,25.75,884,203.62
2,10,20,54,0,31,12,16.7,31.86,4.06,117,16.28,160.9,36.78,1910,343.65
2,10,20,72,5,31,12,377.7,25.15,3.01,120,20.77,35.84,15.41,126,53.38
2,20,2,1,0,23,22,15.9,50,5.69,163,17.9,56.67,20.01,174,69.93
2,37,8,13,2,46,39,45.1,81.06,8.74,211,30.71,99.25,39.64,235,88.06
2,44,18,16,7,63,46,133.1,92.82,10.14,242,30.93,105.88,47.21,313,120.56
2,44,18,66,6,63,46,417.5,93.98,10.19,230,29.69,108.44,48.52,246,93.86
2,44,18,71,0,63,46,23.9,90.42,10.13,222,28.59,214.14,60.73,1542,348.28
2,61,20,3,5,82,63,39.4,119.95,13.15,263,36.16,132.08,55.48,313,114.7
2,61,20,79,7,82,63,576.1,128.46,13.83,340,52.17,144.02,65.32,333,128.21
2,5,6,9,5,12,7,55.8,14.77,1.62,48,5.8,23.67,8.56,94,31.18
2,18,12,4,9,31,20,52.6,44.22,4.91,143,18.16,51.44,21.69,140,64.94
2,19,16,25,9,36,21,243,44,4.9,191,30.97,52.09,23.21,169,69.21
2,31,18,31,0,50,33,20.4,70.88,8.18,209,30.25,133.53,41.15,1179,257.22
2,31,18,51,4,50,33,224.7,69.62,7.58,219,26.54,83.52,36.02,266,113.12
2,43,20,87,5,64,45,456.1,91.91,10.01,248,31.13,107.94,48.11,297,117.27
2,60,4,1,3,65,62,27,115.41,12.47,245,32.46,123.7,50.32,291,90.75
2,0,20,5,1,21,2,19.9,7.54,1.24,42,5.78,23.67,6.46,66,20.66
2,0,20,46,10,21,2,475.5,4.42,0.84,34,5.26,9.26,4.57,66,20.3
2,0,20,100,1,21,2,115.2,5.67,0.97,38,5.52,48.98,11.74,76,28.82
2,11,18,73,3,30,13,235.5,27.17,3.19,115,16.21,44.16,17.24,118,51.29
2,24,20,61,8,45,26,505.6,52.9,5.95,183,22.25,63.25,28.76,217,92.44
2,37,10,20,0,48,39,19.7,78.32,8.72,190,22.61,123.5,40.61,912,195.43
2,45,16,63,3,62,47,209.4,95.16,10.34,234,30.49,117.26,50.17,297,115.99
2,55,18,6,0,74,57,22.2,115.95,12.86,216,34.05,134.37,51.07,393,128.52
2,55,18,44,3,74,57,140.9,115.83,12.34,288,36.86,138.79,60.5,325,124.66
2,7,20,2,8,28,9,31.7,22.49,2.85,81,11.23,29.27,11.73,77,34.32
2,7,20,34,6,28,9,220.1,19.35,2.4,61,10.26,27.9,12.06,75,32.96
2,7,20,82,0,28,9,17.3,23.82,3.14,95,15.49,207.86,43.86,1898,381.62
2,9,8,8,9,18,11,87.1,23.28,2.6,79,11.23,29.52,12.18,92,35.44
2,20,12,26,1,33,22,42.8,46.31,5.24,144,21.19,80.23,27.66,201,79.62
2,33,16,16,1,50,35,34.2,74.5,8.37,248,35.2,101.75,37.83,208,73.37
2,33,16,60,10,50,35,618.6,72.66,7.86,221,30.11,81.61,37.09,235,105.46
2,40,20,23,4,61,42,112.7,86.04,9.45,266,39.68,101.9,44.15,245,96.5
2,40,20,48,4,61,42,213,86.41,9.43,204,26.69,103.23,45.18,256,95.22
2,40,20,92,10,61,42,941.7,84.73,9.3,184,25.8,96.59,44.45,263,99.55
2,53,4,2,10,58,55,40.7,107.44,11.52,231,29.24,119.16,50.74,305,92.27
2,2,20,31,10,23,4,325.7,8.59,1.28,58,7.96,13.98,6.63,88,27.64
2,10,14,32,6,25,12,207.7,24.93,2.88,87,10.92,34.39,14.45,94,41.17
2,28,16,19,9,45,30,189.2,63.08,6.87,222,33.83,71.66,32.03,209,97.24
2,28,16,43,7,45,30,319,62.45,6.82,217,25.53,72.86,32.39,241,104.43
2,31,18,62,0,50,33,20.5,76.39,9,192,23.2,185.71,52.65,1478,339.05
2,44,20,19,4,65,46,97.4,95.56,10.41,231,30.21,111.26,48.16,284,111.76
2,56,12,23,10,69,58,251.3,117.51,12.56,248,32.68,130.92,58.74,287,104.04
2,2,18,24,6,21,4,159.3,8.88,1.27,37,6.39,17,6.92,74,22.51
2,2,18,35,3,21,4,120.9,9.4,1.32,40,6.13,24.4,8.17,80,19.93
2,2,18,71,9,21,4,654.7,8.38,1.21,54,7.48,14.02,6.43,70,21.22
2,15,20,40,5,36,17,216.8,35.44,4.12,162,23.51,47.01,20.27,144,61.74
2,23,6,4,0,30,25,16.7,61.08,6.89,151,21.05,77.31,27.41,197,68.59
2,30,8,4,8,39,32,50.1,69.64,7.48,240,26.57,77.05,32.82,242,95.09
2,42,20,31,0,63,44,20.9,93.83,10.52,306,43.37,155.36,50.96,905,213.99
2,42,20,67,9,63,44,623.1,89.64,9.8,276,40.38,101.87,46.52,219,98.26
2,50,8,13,8,59,52,125.1,106.48,11.33,260,35.62,118.75,52.09,296,111.79
2,6,20,11,8,27,8,103.3,18.46,2.3,92,14.82,24.67,10.9,98,43.88
2,6,20,54,6,27,8,339.2,17.05,2.15,104,13.1,25.97,11.17,104,38.41
2,6,20,77,3,27,8,247,17.4,2.19,77,11.14,34.02,12.54,86,30.3
2,16,20,8,9,37,18,88.5,39.46,4.53,207,29.75,46.63,20.71,175,63.81
2,24,2,1,1,27,26,17.4,56.95,6.29,148,21.39,65.11,25.24,146,60.48
2,38,4,2,10,43,40,37.5,86.16,9.43,238,25.8,92.27,38.52,226,101.83
2,45,16,21,7,62,47,168.3,95.23,10.32,240,30.66,108.32,48.16,269,102.08
2,51,20,19,3,72,53,79.5,107.25,11.76,247,32.24,127.17,54.32,341,91.88
2,51,20,65,10,72,53,660.7,107.2,11.64,251,33.56,120.72,55.51,299,118.87
2,51,20,73,10,72,53,752,108,11.7,279,35.94,120.72,55.37,366,133.71
2,0,12,6,10,13,2,74.1,5.02,0.74,20,3.47,9.14,3.6,58,16.49
2,17,16,29,1,34,19,46.5,40.6,4.58,142,18.43,74.04,24.89,187,72.04
2,17,16,57,4,34,19,245.8,39.63,4.44,157,18.46,53.55,22.28,187,72.62
2,23,18,21,2,42,25,59.1,54.79,6.14,168,20.44,76.57,29.57,235,92.8
2,23,18,68,7,42,25,494.4,51.9,5.76,197,27.94,61.55,27.6,201,87.6
2,35,20,1,1,56,37,20.7,79.13,8.94,208,27.21,86.47,35.22,253,113.34
2,35,20,50,2,56,37,120.5,76.89,8.46,207,29.3,101.52,41.73,249,90.14
2,35,20,98,10,56,37,1000.7,76.51,8.37,248,30.1,85.71,39.49,321,131.27
2,41,8,6,3,50,43,37.6,89.79,9.71,264,36,101.44,41.47,203,74.56
2,58,12,35,5,71,60,197.4,122.9,13.13,290,36.51,139.16,61.14,361,123.8
2,0,16,61,10,17,2,621.1,4.39,0.75,26,4.34,9.05,4.1,74,20.39
2,10,20,49,4,31,12,212.5,25.83,3.08,133,17.33,38.32,15.75,128,50.94
2,21,2,1,3,24,23,19.4,53.87,5.84,166,22.36,59.48,23.48,147,69.02
2,31,8,12,0,40,33,18.5,74.38,8.58,210,24.92,102.59,34.95,387,130.06
2,39,18,80,2,58,41,180.1,84.75,9.23,217,27.94,111.78,45.85,283,107.82
2,60,20,4,10,81,62,64.8,125.77,13.79,276,36.28,136.02,59.94,301,94.36
2,60,20,39,3,81,62,141.3,124.9,13.52,264,34.33,147.32,64.02,347,105.15
2,60,20,88,2,81,62,199.6,125.3,13.57,285,37.37,156.32,66.12,356,119.42
2,8,10,1,2,19,10,16.8,27.62,3.17,98,14.97,33.15,11.66,74,37.13
2,15,14,2,1,30,17,17.7,39.04,4.72,134,19.13,50.96,18.45,121,58.09
2,15,14,35,1,30,17,51,37.22,4.27,141,19.59,73.96,23.83,176,64.5
2,24,18,7,10,43,26,86.7,55.1,6.14,173,21.36,62.94,28.04,193,86.42
2,24,18,79,3,43,26,255.5,54.06,6,181,24.78,72.54,30.09,218,87.52
2,38,20,31,5,59,40,174.8,84.02,9.17,222,26.76,97.63,42.93,229,106.99
