switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
2,4,2,1,0,7,6,14.1,23.69,3.9,61,11.44,35.74,24.14,74,31.47
2,33,10,19,1,44,35,44.2,200.5,33.81,363,68.42,291.7,151.01,577,220.35
2,1,16,35,1,18,3,51.3,28.48,5.67,58,12.33,35.65,17.59,66,22.75
2,18,20,22,10,39,20,239.3,70.46,13.57,194,37.46,105.01,71.95,244,98.58
1,0,9,2,5,9,1,24.2,13.14,2.95,39,8.52,10.25,6.65,39,12.93
1,0,9,49,7,9,1,358.2,7.5,2.55,44,9.23,5.16,5.9,48,17.25
1,0,9,78,3,9,1,249.3,9.19,2.79,47,10.09,7.27,6.27,39,10.14
2,13,20,44,3,34,15,151.5,76.91,14.41,179,38.37,111.24,63.99,250,90.29
2,1,16,63,0,18,3,15.2,212.3,46.22,1121,252.29,298.62,61.53,1593,286.23
2,15,20,56,8,36,17,464.4,63.11,12.4,180,38.85,93.68,60.97,217,85.82
2,0,20,13,1,21,2,24.4,21.11,4.47,60,13.61,21.6,11.59,51,14.81
2,0,20,52,9,21,2,483.9,10.03,3.25,65,14.17,10.2,8.57,47,14.4
2,18,16,21,7,35,20,165.9,77.38,14.15,213,36.79,113.61,71.24,288,103.2
2,20,18,46,0,39,22,19.3,392.8,64.27,1009,162.4,479.84,139.25,1066,206.92
2,6,14,24,0,21,8,17.5,101.54,16.65,552,86.46,119.6,40.51,581,100.51
2,11,20,14,3,32,13,58.7,65.81,12.31,163,34.48,91.87,48.85,238,73.03
2,11,20,93,10,32,13,952.5,70.21,11.87,471,90.93,85.03,46.64,524,130.63
2,21,6,3,6,28,23,35,78.34,13.48,253,47.27,119.2,72.48,323,115.57
2,4,20,54,8,25,6,449.8,25.6,5.78,94,19.38,32.65,22.91,105,34.42
2,15,2,1,3,18,17,18.8,58.51,9.47,137,27.02,85.21,49.31,238,64.58
1,0,10,25,8,10,1,211.4,3.21,0.39,12,1.67,4.97,6.05,24,10.61
1,0,10,62,8,10,1,512.1,8.06,2.77,43,9.88,4.85,5.79,46,11.75
1,0,10,76,1,10,1,91.6,15.6,3.85,48,10.29,14.45,8.03,48,13.67
2,5,4,4,6,10,7,34.9,28.45,4.6,86,16.5,39.89,24.39,118,37.14
2,14,20,37,10,35,16,389.7,56.21,11.29,181,37,84.42,64.24,280,91.56
2,33,14,16,10,48,35,182.9,119.73,21.23,335,60.43,180.26,114.84,411,156.33
1,0,10,18,4,10,1,83.1,11.31,3.09,49,10.36,6.85,6.16,23,10.69
2,14,14,4,4,29,16,32.7,64.86,11.45,178,35.11,94.59,52.08,250,76.54
2,5,18,5,8,24,7,55.3,33.69,6.4,104,20.84,39.67,24.95,113,34.78
2,5,18,46,0,24,7,17.2,141.22,23.42,966,151.65,164.36,45.85,1003,154.54
2,13,20,35,7,34,15,263.1,94.23,19.96,474,100.93,124.83,63.11,529,154.28
2,1,4,3,3,6,3,21.6,15.88,2.64,71,12.84,19.54,11.06,75,18.7
2,14,12,28,3,27,16,102.4,77.33,13.82,190,38.33,114.44,63.98,269,107.07
2,26,20,21,10,47,28,232.6,96.81,18.03,268,49.59,145.86,94.08,359,136.67
2,4,20,18,3,25,6,65.9,36.02,7.11,104,20.02,43.87,27.3,88,38.82
2,4,20,59,3,25,6,194.8,34.44,7.22,106,28.29,45.27,26.64,135,38.53
2,0,18,73,0,19,2,17.6,64.94,11.62,308,48.91,74.72,17.91,324,50.05
2,13,20,24,5,34,15,139,62.3,12.12,166,36.8,91.88,55.97,216,84.62
2,20,4,3,10,25,22,47.3,69.87,12.08,200,32.71,109.37,68.9,232,89.29
2,0,14,11,3,15,2,47.4,15.34,3.28,51,11.82,15.68,9.32,53,13.45
2,16,20,77,5,37,18,407.1,76.23,14.51,212,39.51,111.94,64.88,274,97.95
2,7,20,64,0,28,9,21.4,191.36,31.45,906,145.95,216.59,49.38,952,147.81
2,7,20,84,2,28,9,187.3,127.6,26.65,286,60.79,162.64,60.02,337,97.91
2,4,16,64,3,21,6,209.1,33.76,6.73,101,20.25,45.03,26.6,114,43.33
1,0,8,2,7,8,1,25.9,9.15,2.31,41,8.59,6.02,5.37,16,6.57
1,0,8,45,6,8,1,285.2,3.83,0.46,19,2.79,5.51,5.58,35,11
2,36,4,3,10,41,38,49.5,117.76,20.27,343,57.71,188,121.64,412,159.73
