switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
2,2,2,1,9,5,4,23,10.04,2.12,54,11.09,13.13,4.8,48,31.48
2,14,6,7,2,21,16,30.2,51.59,11.58,204,43.28,71.03,18.3,255,54.71
2,20,16,53,0,37,22,25.2,242.3,53.18,830,162.86,285.87,59.06,885,191.72
2,36,18,27,8,55,38,240.1,71.91,19.65,306,90.02,121.02,42.3,629,160.79
2,36,18,41,0,55,38,32.3,271.33,63.13,648,139.42,389.2,77.14,1101,250.1
2,36,18,68,2,55,38,169.3,120.04,31.18,327,94.95,208.54,51.81,704,178.02
2,41,20,58,9,62,43,548.3,75.11,21.25,382,75.95,130.53,48.24,493,197.1
2,49,2,1,6,52,51,26.4,108.67,24.78,387,68.55,175.8,58,539,143.85
2,1,4,4,8,6,3,42.2,7.63,1.89,51,11.84,8.86,3.05,51,25.57
2,13,10,2,5,24,15,25.5,38.82,9.21,184,46.41,53.29,14.74,220,65.35
2,27,16,61,0,44,29,31.6,285.89,63.99,781,160.07,404.84,75.69,837,173.47
2,36,18,54,10,55,38,570.3,64.96,18.48,362,77.81,113.06,38.78,543,183.53
2,46,20,5,2,67,48,34.1,122.46,29.96,290,74.75,191.17,55.84,555,186.35
2,46,20,68,0,67,48,40.9,416.87,98.71,594,146.59,681.86,115.01,1432,239.68
2,59,18,4,0,78,61,26.9,152.68,36.31,424,94.78,244.83,68.63,528,150.59
2,59,18,47,4,78,61,243.5,133.56,35.15,421,83.34,233.98,62.96,633,133.61
2,59,18,79,5,78,61,467.8,125.19,33.22,364,84.99,217.36,61.62,608,198.83
2,5,20,10,1,26,7,18.8,37.87,10.25,78,21.98,41.54,9.2,80,25.72
2,5,20,53,9,26,7,493.2,16.92,5.56,105,25.12,20.69,7.94,105,63.27
2,5,20,85,2,26,7,186.8,28.52,8.39,119,27.59,40.84,8.47,181,39.43
2,16,6,3,7,23,18,36.9,38.97,9.48,197,44.52,61.27,17.5,275,60.97
2,25,20,51,1,46,27,74.7,123.96,31.53,241,71.09,208.17,42.85,604,126.03
2,32,18,64,0,51,34,36.1,309.31,71.58,738,157.48,441.63,81.62,1483,252.18
2,46,20,18,9,67,48,177.4,87.75,23.78,344,69.31,146.78,55.42,411,145.86
2,46,20,46,8,67,48,404.8,87.52,24.11,297,67.08,150.55,50.65,483,156.05
2,46,20,95,1,67,48,154.6,196.84,49.49,347,87.63,341.82,67.08,637,128.54
2,51,8,5,3,60,53,39,122.82,29.41,447,82.56,202.95,57.36,654,143.65
1,0,7,8,7,7,1,70,8.5,2.51,43,10.14,2.96,1.04,18,9.44
2,12,16,63,10,29,14,648.6,27.47,7.99,172,46.49,41.02,17.47,261,70.25
2,20,18,1,0,39,22,17.2,61.45,14.9,182,48.57,88.2,18.63,293,50.99
2,20,18,48,6,39,22,309,47.09,13.18,213,48.05,76.67,22.62,315,118.99
2,20,18,77,7,39,22,562.2,44.03,12.59,242,49.03,72.01,21.88,308,147.29
2,31,20,40,7,52,33,302.1,65.12,18.07,245,59.83,107.78,34.63,388,137.52
2,41,2,1,10,44,43,20.2,87.33,19.59,280,53.91,130.15,48.8,335,160.16
2,56,20,19,7,77,58,154.1,111.12,29.54,405,85.06,187.46,62.34,567,157.77
2,56,20,39,9,77,58,382.5,101.17,27.68,373,87.22,174.22,67.8,471,158.08
2,56,20,73,3,77,58,284.7,135.26,36.48,337,83.4,248,65.49,549,162.01
2,6,10,9,4,17,8,44.2,22.19,5.71,72,15.99,30.34,7.78,109,32.4
2,10,14,1,3,25,12,18.4,35.05,8.74,143,37.25,48.1,13.47,203,39.68
2,10,14,36,10,25,12,377.2,22.99,6.85,183,43.16,35.21,13.95,182,78.95
2,21,20,14,9,42,23,149.8,43.61,12.36,184,45.17,68.93,25.23,282,116.39
2,21,20,99,8,42,23,818.5,46.9,13.04,179,49,72.2,23.73,295,103.44
2,37,10,14,4,48,39,78.1,88.76,22.45,251,62.44,150.23,40.22,460,136.35
2,41,18,67,6,60,43,429,87.81,23.55,346,66.16,148.65,43.79,518,126.96
2,56,20,38,8,77,58,350,108.35,28.67,425,86.69,180.81,61.04,570,165.35
1,0,8,3,7,8,1,35.3,10.4,2.83,40,9.33,3.6,1.3,22,8.68
1,0,8,39,2,8,1,92.9,10.62,3.2,39,11.01,5.88,1.43,25,7.89
2,11,18,37,9,30,13,350.9,26.22,7.97,187,51.05,39.22,14.17,195,68.7
2,23,20,58,8,44,25,487.7,48.29,13.84,213,69.72,78.68,25.72,440,128.22
2,36,2,1,10,39,38,34.6,61.5,14.72,342,60.15,106.01,31.22,417,119.6
2,48,18,1,10,67,50,20.5,91.22,23.17,288,66,152.49,48.6,407,117.47
2,48,18,40,8,67,50,344.1,94.37,25.57,707,134.27,160.71,49.64,820,180.48
2,48,18,76,4,67,50,356.2,116.49,30.28,430,81.46,197.14,52.49,539,160.72
2,57,20,43,4,78,59,207.4,128.6,34.45,350,81.21,227.58,59.55,488,118.85
2,5,10,18,8,16,7,159,16.13,4.46,123,24.15,21.61,7.4,91,49.97
2,14,20,19,3,35,16,74.7,45.76,12.82,146,37.52,71.5,18.18,244,57.21
2,14,20,81,5,35,16,426,37.25,10.94,209,53.8,59.31,16.87,236,64.88
2,23,10,18,0,34,25,19.6,151.58,32.93,828,164.61,192.14,41.46,861,129.29
2,30,20,4,2,51,32,27.1,83.65,20.75,236,67.34,130.52,34.28,455,103.68
2,30,20,61,10,51,32,638.1,57.49,16.25,274,57.41,94.65,38.54,357,129.96
2,42,20,33,5,63,44,187.2,92.24,25.15,310,66.85,160.1,44.67,412,137.45
2,55,12,22,10,68,57,256.1,97.95,25.93,449,86.01,169.13,69.6,553,145.95
1,0,9,66,3,9,1,213.3,8.2,3.06,47,11.67,4.37,1.4,19,6.77
2,14,20,94,1,35,16,116,86.34,21.93,218,60.46,134.54,27.36,533,116.36
2,19,2,1,4,22,21,19.8,49.65,11.23,202,50.48,76.26,22.31,323,95.11
2,29,18,33,7,48,31,253.7,59.08,16.81,249,59.83,102.61,30.1,357,97.04
2,2,2,1,1,5,4,15.6,12.56,2.47,75,12.83,15.06,3.31,66,11.42
2,16,4,1,10,21,18,25.6,38.44,8.92,164,45.51,61.02,23.08,286,81.95
2,26,14,4,8,41,28,48.9,60.49,15.3,259,79.63,96.42,38.27,489,125.12
2,26,14,36,9,41,28,347.2,50.69,14.04,248,67.59,85.21,33.87,449,135.31
2,29,18,76,6,48,31,476.4,64.27,17.6,256,61.76,107.04,31.82,421,154.4
2,46,20,61,7,67,48,468.3,92.45,25.01,317,86.12,156.17,51.18,594,174.99
2,52,8,7,9,61,54,74.9,97.18,24.93,323,70.45,167.54,52.84,495,203.05
2,8,14,23,8,23,10,196,20.63,6.2,98,25.42,30.65,9.97,132,65.94
2,13,18,7,3,32,15,36.9,44.72,11.49,204,53.42,57.94,15.06,261,57.02
2,13,18,46,7,32,15,338.1,31.05,9.24,122,35.69,48.65,16.64,201,71.66
2,22,20,36,4,43,24,164.9,59.49,16.27,227,63.04,97.5,25.79,373,84.22
2,34,4,3,3,39,36,27.6,83.91,19.88,288,69.13,134.42,33.53,502,124.12
2,48,10,10,7,59,50,90,92.88,24.11,401,66.76,159.26,53.59,498,175.66
2,60,14,22,4,75,62,127.5,136.15,34.7,549,102.96,232.39,63.38,864,198.35
2,60,14,44,8,75,62,401.7,112.42,29.61,567,92.01,192.88,66.4,806,185.48
2,2,18,1,8,21,4,18.8,12.93,3.9,52,17.4,11.81,4.03,36,21.92
2,12,20,1,7,33,14,23,42.22,10.1,187,50.57,51.13,15.76,247,53.02
2,12,20,92,0,33,14,23.7,265.27,58.04,868,172.5,312.87,56.44,915,144.06
2,19,6,1,5,26,21,21.9,49.41,11.59,166,33.99,77.35,20.46,243,62.77
2,32,20,1,0,53,34,18.5,75.95,19.19,197,41.84,124.76,37.15,248,84.62
2,32,20,46,6,53,34,293.5,66.53,19.05,243,57.38,117.11,34.45,357,121.13
2,32,20,99,3,53,34,333.3,91.63,24.41,253,70.03,156.59,41.04,437,122.83
2,42,14,33,1,57,44,64,167.19,40.89,354,77.45,282.22,59.08,656,123.27
2,42,14,37,9,57,44,362.5,77.13,21.05,282,66.54,134.14,46.01,450,144.9
2,50,16,17,0,67,52,29.6,208.78,49.05,466,97.83,295.47,72.42,694,132.41
2,3,20,10,3,24,5,41.7,20.36,6.06,89,20.9,20.74,5.85,71,34.84
2,3,20,56,1,24,5,71.9,31.88,8.96,94,23.11,41.17,8.92,166,39.81
2,15,8,10,7,24,17,86.3,34.14,9.14,249,55.29,56.7,17.14,252,68.74
2,28,20,7,6,49,30,61.2,63.77,17.13,202,55.23,101.65,30.63,378,98.42
2,28,20,93,4,49,30,394.7,70.98,19.63,253,54.32,121.71,32.78,387,117.62
2,33,4,4,9,38,35,54.4,67.28,16.71,319,65.4,114.72,40.41,502,136.96
2,45,10,4,4,56,47,27.1,98.52,24.78,297,62.28,171.73,47.7,534,172.52
2,52,14,20,1,67,54,52.9,169.4,41.99,365,86.6,286.45,64.98,835,173.93
2,4,20,17,6,25,6,113.5,16.33,5.57,86,23.64,20.35,6.68,74,48.06
2,4,20,81,0,25,6,18.1,143.37,31.06,764,158.82,157.85,28.2,781,110.45
2,17,18,10,3,36,19,47.6,52.31,13.91,158,47.6,80.76,20.62,285,74.46
2,17,18,69,8,36,19,572.9,36.39,10.8,174,52.81,59.97,19.61,314,131.11
2,21,20,15,10,42,23,168.6,41.24,12.41,202,46.91,69.48,26.64,289,146.49
2,21,20,45,7,42,23,336.1,45.84,13.32,180,56.77,75.84,25.2,346,108.91
2,32,18,23,0,51,34,24.1,198.09,45.35,667,145.62,283.32,59.88,964,200.39
2,32,18,58,7,51,34,433.5,65.73,18.23,236,57.13,111.62,37.33,359,142.3
2,46,20,72,8,67,48,619.8,87.12,24.09,335,76.3,149.91,50.13,453,170.66
2,58,14,44,9,73,60,447.6,99.56,27.55,366,86.95,180.68,69.46,550,181.89
2,0,18,24,9,19,2,230.9,7.96,3.13,61,13.7,5.44,1.93,36,17.01
2,0,18,42,5,19,2,225.4,7.95,3.3,61,16.31,6.88,2.13,32,9.79
2,0,18,81,0,19,2,16.5,65.27,15.48,520,111.42,60.3,11.27,526,76.81
2,15,20,28,1,36,17,46.4,78.28,20.23,237,62.44,116.55,24.06,396,85.83
2,26,6,5,1,33,28,22.7,83.3,19.11,195,49.76,119.74,30.29,358,100.53
2,30,12,25,7,43,32,189.2,63.29,16.7,296,58.48,105.22,34.35,341,123.26
2,41,20,83,2,62,43,211.7,132.6,34.6,341,80.75,231.61,59.95,588,153.72
2,59,16,20,8,76,61,180.3,103.72,28.87,350,84.3,188.36,66.09,475,176.25
2,59,16,57,0,76,61,61.2,347.47,82.69,469,117.83,568.43,104.91,994,163.14
1,0,10,52,9,10,1,479.4,5.45,2.83,58,15.98,2.18,1.33,19,10.93
2,13,18,25,5,32,15,142.7,36.31,10.28,153,43.77,55.25,15.71,218,85.65
2,22,20,14,3,43,24,61.3,65.29,17.23,237,58.46,102.06,27.11,371,104.08
2,22,20,43,1,43,24,65.3,108.19,27.74,214,70.83,180.49,36.77,510,118.88
2,22,20,67,3,43,24,225.9,67.86,18.16,216,70.07,110.79,28.97,352,80.25
2,29,10,15,4,40,31,80.3,72.02,18.38,231,67.98,122.74,33.87,476,136.95
2,47,20,21,3,68,49,94.2,117.3,30.83,305,73,202.8,54.83,454,133.9
2,47,20,36,6,68,49,252.3,98.74,26.42,421,82.33,167.37,49.47,574,162.96
2,47,20,73,4,68,49,341.5,108.69,29.61,344,74.8,193.33,51.32,508,128.64
2,62,8,12,1,71,64,29.2,211.95,49.8,395,86.43,330.65,74.92,637,119.05
2,2,18,22,3,21,4,75.1,15.94,5.05,60,17.31,18.03,5.06,77,20.24
2,2,18,77,4,21,4,324.3,13.56,4.58,84,20.69,15.88,4.86,80,32
2,17,20,27,9,38,19,262.4,35.46,10.78,150,37.59,57.87,21.44,239,113.6
2,17,20,51,4,38,19,224.5,47.63,13.46,160,41.69,77.4,20.96,225,86.14
2,17,20,67,3,38,19,221.8,55.46,14.98,184,50.38,87.3,22.85,308,87.75
2,27,8,3,0,36,29,11.6,90.43,20.14,432,91.22,137.5,33.59,476,102.55
2,29,20,9,5,50,31,65.2,65.92,18.34,239,58.52,113.28,31.61,351,99.39
2,29,20,79,3,50,31,268,83.65,22.39,243,58.28,142.42,37.12,392,101.02
2,45,18,28,2,64,47,87.6,134.26,34.24,385,74.37,228.15,61.38,634,139.29
2,61,20,31,6,82,63,216.9,118.99,32.45,385,91.79,210.22,66.25,563,169.26
2,61,20,36,3,82,63,144.1,156.12,40.3,397,93.48,267.32,68.17,676,128.31
2,8,10,17,7,19,10,128.2,20.51,5.85,99,24.76,32.29,10.82,147,69.16
2,13,12,2,9,26,15,34.4,36.86,8.94,217,50.82,49.22,15.91,234,72.61
2,26,18,39,7,45,28,295.5,54.68,15.4,209,58.92,92.03,30.22,368,110.65
2,31,20,17,1,52,33,40.1,121.2,30.37,257,63.76,190.77,43.26,608,133.16
2,31,20,89,8,52,33,746.2,63.09,17.51,249,59.03,103.83,32.27,377,116.46
2,43,14,42,1,58,45,77.4,175.71,43.21,405,83,297.51,61.35,646,137.13
2,57,20,11,3,78,59,65.1,130.91,33.89,353,82.94,226.76,64.02,530,151.7
2,57,20,42,7,78,59,343.2,105.1,29.51,489,93.56,190.96,58.26,664,147.08
2,57,20,81,8,78,59,706.4,108.82,29.12,401,93.94,183.2,61.86,507,167.18
2,4,12,28,9,17,6,263.7,12.48,4,71,17.78,17.44,6.68,88,53.16
2,11,16,12,4,28,13,64.1,36.8,9.61,158,41.84,51.05,13.43,218,41.86
2,19,18,55,9,38,21,516.8,38.81,11.42,226,64.48,63.66,22.59,300,112.79
2,37,20,27,8,58,39,241.9,68.92,19.9,251,57.9,122.84,42.32,360,137.69
2,37,20,98,4,58,39,428.4,90.91,24.59,277,65.92,155.99,41.46,464,205.81
2,45,12,33,0,58,47,25.4,349.45,81.61,539,146.54,534.69,96.89,1544,270.3
2,55,14,33,1,70,57,79.2,191.16,47.19,415,92.23,326.3,72.23,803,135.8
2,55,14,43,7,70,57,331.7,103.3,28.1,341,82.95,184.45,60.17,459,138.04
2,3,18,3,3,22,5,20.7,16.23,5.01,71,19.95,17,4.35,55,18.99
