switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
2,0,20,12,10,21,2,134.7,12.74,3.75,60,16.86,10.38,9.83,28,15.61
2,18,12,9,8,31,20,88.8,77.78,14.77,203,56.08,114.99,101.2,318,151.1
2,20,18,29,4,39,22,135.4,103.94,20.24,266,55.76,150.49,100.22,366,182.19
2,20,18,34,3,39,22,122.4,113.39,22.06,262,54.97,163.69,87.43,354,163.33
2,37,20,32,3,58,39,124.3,188.3,36.04,382,73.02,278.42,140.73,514,230.56
2,47,10,3,9,58,49,37.1,165.28,30.36,438,75.21,261.27,239.17,503,331.65
2,52,12,9,6,65,54,78.8,198.26,37.18,497,93.11,309.14,178.05,657,248.86
2,5,16,17,6,22,7,118.1,32.22,7.04,126,27.84,42.74,35.9,122,64.07
2,15,20,6,3,36,17,34.6,77.08,15.75,212,55.31,113.41,57.19,281,106.34
2,15,20,41,7,36,17,305.7,70.51,14.36,220,58.46,101.26,59.98,256,106.85
2,28,6,7,3,35,30,40.2,122.79,23.1,283,56.22,193.96,114.61,381,191.79
2,35,16,12,1,52,37,34,200.59,38.44,375,73.59,297.32,149.69,516,235.13
2,45,18,10,6,64,47,83.7,175.77,33.69,493,85.99,272.4,230.31,637,349.79
2,45,18,62,0,64,47,44.5,578.97,112.73,785,151.43,850.18,245.38,1105,304.42
2,55,20,36,9,76,57,370.2,196.11,38.33,533,106.95,315.94,283.55,657,419.83
2,2,18,21,2,21,4,56.7,29.72,6.62,96,21.41,34.39,16.44,64,28.46
2,2,18,52,2,21,4,119.6,29.63,6.77,71,16.46,36.25,17.65,66,37.84
2,18,20,55,0,39,20,24.2,362.07,73.03,963,178.69,461.98,139.8,1142,279.93
2,20,4,2,7,25,22,29.9,78.66,14.32,194,54.14,121.64,99.49,356,157.21
2,37,6,2,6,44,39,30.9,130.65,24.39,365,74.23,212.2,172.45,566,265.14
2,45,18,10,10,64,47,125.8,162.4,30.98,445,85.79,252.8,182.4,596,268.44
2,45,18,52,3,64,47,197.1,219.85,42.7,470,90.96,339.18,152.16,605,266.18
2,51,20,2,7,72,53,35.6,175.48,33.47,453,82.39,277.05,244.74,552,340.9
2,51,20,45,7,72,53,346.8,192.47,37.85,502,95.47,309.82,247.06,619,388.93
2,51,20,72,2,72,53,196.3,284.39,55.3,531,102.02,436.42,193.6,716,293.93
1,0,2,1,7,2,1,20.6,5.68,1.09,18,3.14,5.15,4.56,18,7.37
2,14,16,33,7,31,16,248.9,63.8,12.97,187,47.6,94.8,66,246,115.32
2,28,18,20,5,47,30,121,122.63,24.1,316,66.52,187.18,127.51,394,237.05
2,37,20,27,0,58,39,29.7,347.95,68.53,950,174.78,502.15,192.06,1045,317.13
2,37,20,57,2,58,39,149.8,213.9,42.37,419,85.46,328.81,150.89,666,265.3
2,37,20,92,0,58,39,58.8,527.96,104.24,812,152.77,774.25,200.93,1216,260.8
2,40,4,4,6,45,42,40,146.38,26.69,400,71.69,232.55,199.79,496,304.95
2,52,12,3,2,65,54,29.5,185.25,35.04,489,95.89,300.85,237.15,586,381.34
2,2,18,13,3,21,4,53.6,26.87,5.94,101,24.82,28.73,18.74,76,38.59
2,2,18,57,10,21,4,586,16.59,4.58,84,21.39,21.41,20.91,60,36.86
2,9,20,14,6,30,11,100,47.77,10.26,153,32.83,66.78,47.02,194,77.54
2,25,14,10,8,40,27,98.3,99.21,19.33,251,54.33,153.97,75.13,339,130
2,35,18,3,9,54,37,46.3,126.05,24.53,364,68.13,198.66,159.54,418,228.76
2,35,18,81,8,54,37,685.9,137.86,26.81,393,72.25,212.8,168.27,484,275.41
2,40,20,85,7,61,42,641.5,154.63,30.84,413,79.64,247.7,195.3,535,307.01
2,56,8,13,4,65,58,83.2,223.23,41.86,538,100.33,352.03,236.36,659,387.72
2,8,10,22,4,19,10,103.9,48.72,9.54,139,28.42,68.83,38.24,162,75.19
2,13,20,25,3,34,15,92.7,75.52,15.62,181,43.68,110.06,62.72,267,128.27
2,13,20,63,0,34,15,23,307.52,58.53,1034,190.48,372.61,112.02,1085,193.35
2,13,20,100,10,34,15,1022.9,55.46,11.92,172,52.45,83.14,68.79,260,117.87
2,22,20,28,5,43,24,160.3,102.29,20.5,308,61.22,154.1,89.2,395,162.75
2,22,20,34,10,43,24,361.6,90.39,17.88,292,59.4,132.93,106.64,354,158.9
2,22,20,84,10,43,24,867.2,83.8,17.46,262,52.57,132.82,117.82,361,179.65
2,30,16,2,5,47,32,21.1,112.89,21.25,319,62.78,173.6,156.29,388,223.96
2,39,18,9,2,58,41,39.9,181.6,35.22,421,81.16,278.57,140.03,583,198.74
2,56,20,23,10,77,58,252.7,193.28,37.91,578,115.33,315.32,310.03,784,419
2,56,20,52,8,77,58,475.5,208.01,40.19,560,104,328.45,271.05,688,404.4
2,56,20,75,8,77,58,674.7,200.63,39.79,553,110.16,329.35,197.59,697,305.06
2,1,4,4,6,6,3,35.3,13.68,2.47,60,12.37,17.2,6.38,62,12.21
2,12,6,3,9,19,14,42.6,53.26,9.77,155,36.62,78.71,61.08,178,97.49
2,22,8,2,10,31,24,36.4,77.42,15.14,226,47.91,130.22,90.64,360,124.58
2,38,12,23,2,51,40,72.4,203.69,38.78,439,84.24,309.61,153.2,635,255.28
2,40,14,41,7,55,42,318.4,152.26,29.89,421,89.24,246.26,200.5,590,320.21
2,51,18,19,7,70,53,150,196.13,37.47,513,97.13,306.15,237.91,634,349.85
2,51,18,78,0,70,53,83.6,497.43,96.26,698,134.18,730.73,215.83,985,354.72
2,8,20,21,6,29,10,136.6,41.97,9.5,129,31.41,61.36,47.28,160,75.58
2,9,10,24,9,20,11,232.4,40.5,8.26,127,27.37,61.76,47.54,141,84.38
2,27,20,31,5,48,29,177.9,117,23.77,309,59.04,183.66,121.91,389,204.09
