switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
2,6,16,1,9,23,8,441.2,0.98368087,562.7697189,58,167890,0.834088849,134.6146872,50,9354
2,12,18,31,2,31,14,572.9,0.7540583,444.0984465,72,164952,0.628381917,105.4110665,60,11124
2,12,18,57,7,31,14,908.9,0.481901199,280.376279,72,164954,0.402684564,66.89184729,62,10940
2,24,20,34,10,45,26,958.7,0.456868676,277.588401,68,164186,0.390111609,67.5664963,62,10940
2,31,4,4,5,36,33,109.1,3.978001833,2395.527039,68,164950,3.336388634,605.847846,60,10804
2,45,18,9,5,64,47,626.9,0.711437231,451.0639655,86,164958,0.587015473,112.2571383,70,11900
2,45,18,79,5,64,47,906.5,0.48758963,311.6337562,68,164188,0.408163265,77.78268064,58,11396
2,52,20,55,4,73,54,841.9,0.527378549,344.2166528,70,164976,0.444233282,86.45207269,60,13398
2,52,20,48,0,73,54,620.2,0.709448565,466.8107062,68,164968,0.586907449,116.2592712,58,13398
2,52,20,92,8,73,54,1357.8,0.319634703,212.9179555,68,164960,0.272499632,53.40403594,60,14416
2,1,18,43,1,20,3,568.5,0.777484609,432.7845207,74,164982,0.650835532,104.710642,64,11396
2,1,18,34,5,20,3,684.4,0.637054354,358.8457043,70,96796,0.52893045,86.18351841,58,10668
2,12,20,92,8,33,14,1353.9,0.320555432,189.0050964,68,164188,0.268852943,44.80537706,58,10668
2,25,12,32,9,38,27,546.2,0.801904064,479.3701941,68,165022,0.673745881,118.3705602,58,10668
2,37,16,43,8,54,39,758,0.577836412,361.8548813,70,167884,0.488126649,90.00263852,62,11260
2,37,16,60,9,54,39,984.5,0.453021838,279.1609954,72,164952,0.37785678,69.43423057,62,10940
2,39,20,24,4,60,41,716.6,0.611219648,388.7412783,80,164950,0.505163271,95.24141781,64,11492
2,54,16,8,4,71,56,447.5,1.010055866,648.6346369,74,166272,0.83575419,163.9776536,62,13970
2,2,20,81,5,23,4,1070.5,0.412891172,231.8262494,74,165094,0.343764596,55.48061653,62,10940
2,14,12,24,4,27,16,354.8,1.223224352,711.319053,66,134230,1.020293123,172.2096956,56,10244
2,27,18,72,6,46,29,941.9,0.467140885,283.9218601,68,164602,0.392823017,69.39377853,56,10532
2,31,20,16,10,52,33,779.5,0.579858884,350.080821,74,101462,0.477228993,85.49326491,62,11260
2,31,20,41,5,52,33,824.8,0.533462658,329.8642095,58,164188,0.451018429,80.79776916,52,9490
2,47,16,25,8,64,49,617.6,0.709196891,457.5712435,58,164958,0.59261658,114.6534974,50,11968
2,58,18,71,4,77,60,856.7,0.520602311,343.721256,66,166270,0.434224349,86.83086261,56,15250
2,58,18,40,10,77,60,986.9,0.447867058,299.7487081,68,167626,0.374911339,75.23761273,56,16268
2,58,18,75,0,77,60,584.7,0.749102104,501.1253634,84,101326,0.632803147,126.9505729,68,15250
2,3,20,67,1,24,5,712.1,0.609464963,348.8863924,70,164950,0.508355568,82.83106305,58,10668
2,3,20,98,7,24,5,1303.8,0.335941095,190.7654548,70,165092,0.279183924,45.34437797,60,10804
2,18,2,1,5,21,20,80.5,5.51552795,3100.993789,72,168652,4.596273292,779.9751553,62,11124
2,28,8,9,9,37,30,229.8,1.923411662,1139.947781,70,165088,1.627502176,286.8581375,62,10940
2,38,12,1,8,51,40,266.6,1.620405101,1020.780195,70,164948,1.380345086,256.4591148,60,10804
2,41,20,3,8,62,43,643.9,0.683335922,435.4247554,70,164952,0.568411244,107.3054822,56,11270
2,41,20,52,7,62,43,986.1,0.452286786,284.7297434,70,164452,0.375215495,70.34377852,58,11270
2,41,20,75,3,62,43,932,0.467811159,300.5407725,70,164958,0.388412017,73.84334764,60,10804
2,53,2,1,8,56,55,86.5,5.225433526,3238.543353,70,166266,4.369942197,848.1618497,62,14702
2,5,4,4,6,10,7,110.7,3.938572719,2167.317073,72,164596,3.342366757,537.7416441,60,10804
2,16,16,14,4,33,18,468.4,0.943637916,548.9453459,72,164044,0.785653288,132.5362938,62,10940
2,27,18,59,2,46,29,691.6,0.639097744,386.8594563,64,165086,0.532099479,94.31174089,52,9972
2,27,18,58,8,46,29,974.4,0.455665025,274.7229064,72,164952,0.383825944,67.35837438,60,10804
2,27,18,78,2,46,29,667.5,0.668164794,401.2344569,70,165086,0.560299625,98.32808989,62,10940
2,30,20,59,10,51,32,1208.5,0.372362433,225.0608192,76,165018,0.314439388,55.377741,62,10610
2,30,20,67,7,51,32,1088.4,0.402425579,249.0867328,68,164954,0.338110989,60.71664829,60,10804
2,40,6,9,6,47,42,169.3,2.634376846,1600.496161,60,164642,2.209096279,409.6396929,52,10984
2,53,8,9,9,62,55,233.2,1.903945111,1212.907376,70,164956,1.586620926,312.1698113,60,14702
2,3,12,20,1,16,5,277.5,1.563963964,876.5765766,72,165086,1.304504505,212.554955,60,10804
2,3,12,36,7,16,5,509,0.848722986,477.6385069,58,165090,0.715127701,116.1493124,50,8764
2,14,18,66,8,33,16,1035.5,0.422984066,247.706422,70,164466,0.357315307,59.53066152,62,10940
2,28,20,92,1,49,30,712.1,0.623507934,378.9552029,68,167890,0.525207134,92.57126808,60,10804
2,35,8,5,5,44,37,174.4,2.54587156,1536.135321,58,163910,2.098623853,386.3417431,50,9354
2,43,18,67,10,62,45,1181,0.379339543,238.1388654,74,165088,0.313293819,59.21930567,62,11842
2,57,20,40,10,78,59,1021.3,0.436698326,287.9604426,64,164988,0.370116518,72.93253696,50,16118
2,57,20,57,6,78,59,965,0.462176166,304.7170984,72,164452,0.389637306,77.04663212,62,16118
2,0,14,14,6,15,2,417.2,1.04506232,580.5417066,70,164954,0.867689358,141.3806328,60,10804
2,16,18,31,3,35,18,602.7,0.730048117,428.558155,68,164956,0.610585698,103.0031525,58,10540
2,16,18,67,1,35,18,574.9,0.751435032,448.3284049,82,164952,0.633153592,107.5108715,68,12084
2,21,20,82,7,42,23,1192.8,0.367203219,221.01945,56,164456,0.3101945,53.35848424,46,7434
2,29,20,61,9,50,31,1169.4,0.377971609,231.3579613,56,165228,0.318111852,56.49905935,46,7838
2,29,20,75,10,50,31,1369.7,0.319778054,197.3205811,66,164948,0.265751624,47.83967292,54,9980
2,43,8,13,8,52,45,255.3,1.746964356,1075.949863,68,164602,1.449275362,273.9443792,58,11842
2,54,20,85,5,75,56,1093.9,0.402230551,266.1650974,66,164950,0.336411006,66.68616875,56,13970
2,1,4,4,2,6,3,95,4.547368421,2487.915789,74,164952,3.831578947,622.3157895,64,11396
2,11,16,32,2,28,13,476.8,0.922818792,530.2978188,64,164952,0.780201342,127.7684564,52,9844
2,11,16,61,5,28,13,716.4,0.614182021,352.9396985,58,164050,0.519262982,85.03629257,46,7434
2,26,20,72,0,47,28,619.4,0.716822732,432.9867614,70,164952,0.60703907,105.7216661,62,10940
2,26,20,87,1,47,28,701.7,0.629898817,382.0151062,74,165228,0.530141086,92.93430241,62,10940
2,38,10,21,1,49,40,217.6,2.040441176,1248.492647,60,164948,1.709558824,315.5698529,52,10412
2,45,12,27,8,58,47,476.8,0.927013423,584.3791946,60,165086,0.784395973,148.4521812,50,12414
2,53,14,7,3,68,55,350.7,1.27174223,817.8842315,70,165362,1.055032792,207.5791275,60,13684
2,53,14,34,8,68,55,602.9,0.743075137,477.2366893,72,165218,0.617017748,121.0117764,60,13684
2,2,16,1,6,19,4,458.5,0.968375136,537.827699,74,166550,0.80697928,129.8844057,62,10940
2,2,16,55,8,19,4,868.9,0.494878582,281.6480608,68,165846,0.414316952,67.72701116,56,10532
2,15,20,17,3,36,17,670,0.659701493,386.4686567,70,168662,0.546268657,92.02686567,58,10668
2,15,20,38,1,36,17,656.1,0.655387898,393.4125895,68,165232,0.545648529,93.14738607,58,10668
2,15,20,78,3,36,17,854.9,0.51468008,302.7137677,58,163290,0.425780793,71.96397239,46,7434
2,19,10,23,10,30,21,426.9,1.011946592,597.5357227,72,164456,0.847973764,146.4745842,60,10804
2,34,14,10,6,49,36,389.8,1.123653155,693.9917907,58,164954,0.969728066,174.2124166,52,9490
2,34,14,34,9,49,36,637.1,0.690629415,424.821849,84,165226,0.574478104,105.3084288,68,11764
2,48,18,55,8,67,50,951.8,0.464383274,299.4137424,72,164950,0.38873713,74.9821391,60,13272
2,48,18,81,0,67,50,511.9,0.871263919,557.2494628,58,164952,0.726704434,139.6835319,50,13272
2,50,20,52,1,71,52,761.9,0.588003675,378.5037406,76,164950,0.493503084,94.95734348,64,12826
2,50,20,78,1,71,52,698.5,0.627057981,411.9226915,70,165112,0.523979957,102.6027201,60,13844
2,5,18,75,0,24,7,537.2,0.804169769,462.8555473,70,164974,0.673864483,109.7989576,58,10314
2,5,18,71,9,24,7,1165.6,0.368908717,215.2110501,66,166684,0.308853809,50.50789293,58,10668
2,13,20,10,0,34,15,619,0.694668821,414.3037157,68,165228,0.581583199,98.02261712,56,9170
2,13,20,46,2,34,15,779.4,0.55940467,329.5740313,70,164964,0.487554529,79.59455992,62,10940
2,25,10,19,9,36,27,368.1,1.211627275,709.1279544,76,165096,1.005161641,176.0119533,64,11396
2,34,16,42,7,51,36,709,0.634696756,384.5077574,88,96802,0.541607898,96.35543018,74,12492
2,39,18,4,4,58,41,528.1,0.836962696,525.5027457,72,165092,0.704412043,130.5245219,62,10940
2,53,20,74,7,74,55,1140.1,0.392947987,255.1898956,72,166652,0.3280414,64.09086922,60,13684
2,2,12,18,9,15,4,418.8,1.036294174,578.8586437,68,163288,0.878701051,141.8147087,60,10804
2,16,16,10,4,33,18,454.4,0.968309859,565.5765845,56,164188,0.818661972,137.2183099,48,7890
2,16,16,58,4,33,18,645.4,0.66935234,397.3628757,72,168030,0.557793616,95.34552216,60,10804
2,21,20,32,1,42,23,650.4,0.682656827,405.9747847,70,164956,0.565805658,97.64760148,60,11124
2,21,20,37,2,42,23,693.3,0.634645896,384.1338526,72,166872,0.525025242,91.24765614,62,11260
2,38,6,7,8,45,40,170.2,2.620446533,1582.209166,70,164494,2.162162162,401.7156287,60,11124
2,39,14,45,7,54,41,645.2,0.685058896,426.1314321,68,165226,0.588964662,107.6782393,60,10804
2,54,16,30,1,71,56,510.9,0.861225289,564.7641417,56,164954,0.712468193,142.2509297,50,13970
2,54,16,56,3,71,56,584,0.753424658,494.0958904,72,164968,0.630136986,124.9109589,62,13970
2,0,18,10,8,19,2,594.4,0.723418573,411.1204576,70,165226,0.615746972,99.69044415,64,11396
2,0,18,40,4,19,2,653.1,0.661460726,374.3806461,70,165228,0.55427959,90.31388761,60,10804
