switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,2,60,2.818181818,22.9,94.19,21.62,393,95,115.02,42.97,465,159.37
6,8,12,4,5,60,2.818181818,35.1,80.8,19.26,433,104.75,98.92,37.96,521,166.24
6,8,12,16,2,60,2.818181818,47.4,84.2,19.85,429,98.09,151.56,46.01,537,198.24
6,8,12,16,5,60,2.818181818,95.6,79.79,21.14,383,91.3,161.73,59.78,735,266.25
6,8,24,8,2,72,2.739130435,32.6,93.19,22.08,562,127.57,114.82,38.33,653,150.84
6,8,24,8,5,72,2.739130435,56.5,81.61,20.6,436,100.1,133.73,44.27,564,188.44
6,8,24,32,2,72,2.739130435,82.3,88.99,21.74,493,118.76,147.47,49.59,672,223.99
6,8,24,32,5,72,2.739130435,175.6,81.48,21.31,457,113.81,128.74,47.34,636,266.17
6,8,48,16,2,96,2.70212766,48.3,104.55,25.12,438,111.51,121.66,44.09,542,173.83
6,8,48,16,5,96,2.70212766,97,96.46,23.9,331,84.6,122.34,43.23,506,201.04
6,8,48,64,2,96,2.70212766,146.6,103.64,25.48,460,110.59,153.4,49.03,587,184.34
6,8,48,64,5,96,2.70212766,337.7,91.29,24.23,357,81.52,131.79,47.86,738,266.4
4,8,8,4,2,40,4.428571429,23.9,82.97,23.27,229,54.86,157.53,49.52,413,94.48
4,8,8,4,5,40,4.428571429,35.9,70.89,18.95,250,53.55,119.05,39.93,383,87.33
4,8,8,16,2,40,4.428571429,48.1,72.66,18.63,224,48.79,118.42,41.16,361,116.84
4,8,8,16,5,40,4.428571429,96.2,59.13,16.4,206,45.94,100.57,38.95,370,128.17
4,8,32,16,2,64,4.096774194,49.9,84.19,21.56,242,58.24,118.04,37.45,329,77.11
4,8,32,16,5,64,4.096774194,97.8,69.92,18.68,250,57.54,94.82,37.14,357,137.33
4,8,32,64,2,64,4.096774194,147.9,77,19.67,426,97.1,104.65,35.97,566,134.4
4,8,32,64,5,64,4.096774194,339,60.16,16.27,415,90.08,75.88,31.03,522,133.6
8,16,16,4,2,144,4.733333333,105.4,227.13,327.43,3913,6607,1338.39,861.91,34352,18209.64
8,16,16,4,5,144,4.733333333,115.9,198.54,243.45,1993,4407.96,1429.61,851.96,31050,14159.56
8,16,16,16,2,144,4.733333333,119.7,184.6,243.07,1760,2931.32,1860.66,1234.8,33214,16648.1
8,16,16,16,5,144,4.733333333,141.2,218.61,357.42,2196,6568.33,1659.44,1071.35,37790,19550.31
8,16,64,16,2,192,4.555555556,182.6,180.66,149.52,2288,4165.83,1329.04,716.85,55882,25901.23
8,16,64,16,5,192,4.555555556,192.2,185.53,155.82,2834,4971.81,1064.08,595.58,33684,16358.2
8,16,64,64,2,192,4.555555556,201.7,213.11,219.56,2217,3415.25,971.49,650.6,17899,13274.75
8,16,64,64,5,192,4.555555556,416.8,170.02,109.55,3954,5698.4,502.5,285.75,34665,17953.86
12,16,24,4,2,216,2.913043478,24.8,264.76,70.13,1133,303.14,375.24,122.35,1469,447.03
12,16,24,4,5,216,2.913043478,36.8,252.23,66.16,1180,303.32,364.7,117.31,1407,396.46
12,16,24,16,2,216,2.913043478,49.6,246.71,66.44,936,249.64,433.73,129.47,1187,344.94
12,16,24,16,5,216,2.913043478,101.3,247.32,64.47,1138,306.2,363.31,119.21,1923,608.59
12,16,48,8,2,240,2.872340426,33.6,253.01,68.17,788,193.52,374.88,119.62,945,405.05
12,16,48,8,5,240,2.872340426,58.3,252.45,67.53,942,257.29,356.3,115.44,1188,406.49
12,16,96,16,2,288,2.852631579,51.3,280.37,74.72,1254,345.28,401.42,121.71,1519,474.03
12,16,96,16,5,288,2.852631579,104.8,282.9,74.38,1186,346.89,354.43,119.27,1514,492.33
12,16,96,64,2,288,2.852631579,153.5,299.44,77.15,1175,335.89,468,133.48,2589,751.88
2,36,20,56,10,57,38,585.5,131.12,26.23,408,80.2,209.82,193.51,544,295.94
2,1,18,55,7,20,2.06,400.4,15.65,4.08,72,14.09,15.78,10.98,53,26.1
2,18,14,19,10,33,20,217.1,37.84,10.46,169,33.81,61.21,20.24,201,67.37
4,3,32,10,3,38,3.58,45.7,40.72,9.5,110,34.26,43.81,33.36,106,68.53
4,3,40,89,10,46,3.56,909.2,31.56,9,160,39.36,35.12,36.85,149,71.46
2,59,18,32,6,78,61,225.9,124.45,32.64,524,112.46,216.62,68.93,699,234.81
8,7,80,81,9,94,5.3,750.6,65.46,18.65,245,86.3,75.22,75.15,185,111.72
2,3,18,67,3,22,5,217.7,30.09,6.88,98,20.5,38.46,22.14,86,51.67
16,15,128,17,5,158,7.17,110.1,126.94,33.2,242,84.3,156.75,159.57,295,223.4
2,42,20,61,4,63,44,274.6,196.99,38,440,83.63,298.47,172.64,557,286.9
2,9,20,33,1,30,11,50.3,91.47,18.44,161,36.92,125.9,40.35,220,81.83
2,1,10,10,6,12,3,74.8,16.1,3.43,62,14.76,18.16,17.05,63,28.64
32,31,288,35,2,350,9.09,117.8,241.62,67.07,427,127.67,319.22,257.2,484,506.92
1,0,4,8,1,4,1,21.6,6.81,1.27,24,4.55,6.71,4.21,27,8.85
2,18,14,40,1,33,20,60.4,114.39,25.86,225,62.26,168.08,32.53,511,102.57
1,0,6,7,8,6,1,69.6,6.65,1.4,30,6.45,5.09,4.96,22,10.16
1,0,9,49,4,9,1,210.2,7.44,1.83,30,6.47,5.72,4.4,22,10.61
