switch_e,switch_c,host,connection,interval,link,hop,time,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte,avgRecvMsg,avgRecvByte,secMaxRecvMsg,secMaxRecvByte
6,8,12,4,5,60,2.818181818,35,100.91,21.06,408,96.46,128.54,83.75,510,153.59
6,8,12,16,2,60,2.818181818,47.6,107.54,22.29,367,87.12,165.71,104.17,487,224.6
6,8,12,16,5,60,2.818181818,95,113.37,24.92,424,93.46,204.73,116.72,575,247.68
6,8,24,8,2,72,2.739130435,31.3,113.51,24.33,434,111.16,149.33,109.66,605,153.21
6,8,24,8,5,72,2.739130435,55.8,108.39,23.15,340,86.19,155.02,102.45,567,237.34
6,8,24,32,2,72,2.739130435,80.2,115.86,24.55,476,113.98,185.44,106.36,612,221.73
6,8,24,32,5,72,2.739130435,175.3,110.44,24.18,401,89.41,162.99,111.26,571,269.5
6,8,48,16,2,96,2.70212766,48.2,126.43,27.64,307,68.94,153.71,103,373,155.57
6,8,48,64,2,96,2.70212766,145.4,129.21,28.51,494,121.63,184.57,106.67,856,488.44
12,16,24,4,2,216,2.913043478,25.4,299.13,73.09,962,245.08,426.1,264.14,1213,402.56
12,16,24,4,5,216,2.913043478,37.1,295.34,70.54,1036,261.32,394.1,275.27,1312,417.02
12,16,24,16,2,216,2.913043478,49.6,303.35,72.42,1035,275.64,476.27,282.71,1278,621.18
12,16,24,16,5,216,2.913043478,97.5,295.67,69.65,1090,278.27,416.15,271.29,1282,785.79
12,16,48,8,2,240,2.872340426,33.5,307.25,73.92,1034,302.38,465.76,275.76,1435,435.55
12,16,48,8,5,240,2.872340426,57.7,303.02,72.75,1084,306.35,398.82,275.04,1414,438.23
12,16,96,16,2,288,2.852631579,51.1,318,79.2,1123,304.62,458.94,279.52,1287,432.61
12,16,96,16,5,288,2.852631579,95.7,345.29,82.25,959,273.63,416.41,297.29,1179,422.13
4,8,8,4,2,40,4.428571429,23.8,103.24,25.09,257,48.48,178.78,69.37,353,105.38
4,8,8,4,5,40,4.428571429,36,86.89,20.94,271,52.62,148,64.58,355,130.6
4,8,8,16,2,40,4.428571429,48.2,90.41,20.59,184,50.26,143.86,65.17,343,148.69
4,8,8,16,5,40,4.428571429,96.2,78.08,18.28,219,49.54,126.07,51.55,362,125.33
4,8,32,16,2,64,4.096774194,49.9,105.19,23.89,371,93.37,146.63,57.88,413,120.72
4,8,32,16,5,64,4.096774194,97.9,87.02,20.64,300,66.63,120.75,59.78,364,116.11
4,8,32,64,2,64,4.096774194,148.1,98.27,21.75,308,74.28,132.06,79.49,474,174.71
4,8,32,64,5,64,4.096774194,339.3,78.59,18.34,412,88.4,104.08,44.24,494,266.37
8,16,16,4,2,144,4.733333333,106.1,245.14,293.18,1808,5443.67,1313.38,993.34,29435,16214.95
8,16,16,4,5,144,4.733333333,119.4,215.52,189.88,2960,4140.93,1312.07,914.28,32846,15543.52
8,16,16,16,2,144,4.733333333,125.6,241.2,268.21,2182,6568.23,1740.64,1159.67,41354,25159.54
8,16,16,16,5,144,4.733333333,136.2,240.64,287.08,2020,5209.69,930.04,737.1,23226,14576.26
8,16,64,16,2,192,4.555555556,171.3,249.36,217.41,2863,5414.94,895.03,683.55,20583,9644.66
8,16,64,16,5,192,4.555555556,190.9,217.24,169.19,2061,4406.2,930.25,737.44,24023,17147.79
2,8,20,53,4,29,10,229.6,49.19,10.75,147,38.91,69.45,41.99,162,78.87
8,7,64,3,3,78,5.32,26.8,71.04,17.59,198,59.7,84.03,74.08,163,120.54
4,3,28,10,9,34,3.59,106.5,33.96,7.92,147,33.69,36.54,27.31,83,43.6
2,46,20,48,8,67,48,427.6,171.23,33.68,446,87.26,273.04,232.39,605,355.12
2,1,16,23,4,18,2.07,106.9,16.51,4.14,65,13.28,18.12,12.34,50,29.72
2,23,4,4,1,28,25,20.3,109.7,20.62,233,59.64,169.9,77.5,396,105.19
